,HeartRate
0,79.41801
1,79.42569
2,79.43235
3,80.33495
4,80.56742
5,80.64454
6,80.65891
7,80.68045
8,80.68297
9,80.70228
10,80.72673
11,84.47731
12,84.139
13,82.921234
14,82.162926
15,81.931305
16,82.88585
17,83.61217
18,79.8792
19,81.66097
20,81.80607
21,81.11169
22,81.53421
23,81.17853
24,81.46359
25,79.8401
26,77.891075
27,77.75092
28,77.44507
29,76.90058
30,76.710106
31,76.719795
32,76.666405
33,77.18736
34,76.85945
35,80.18701
36,80.763596
37,79.28717
38,79.39042
39,79.49956
40,79.52314
41,79.552246
42,79.96014
43,80.12208
44,80.3636
45,80.52168
46,80.55453
47,79.752235
48,80.247894
49,80.51571
50,80.56091
51,80.64821
52,81.99281
53,83.750824
54,84.42516
55,85.550766
56,86.36721
57,85.28077
58,85.37011
59,85.55929
60,85.25438
61,85.275955
62,85.325226
63,85.20491
64,84.2646
65,85.12916
66,85.154335
67,84.83938
68,84.380486
69,84.3779
70,83.99189
71,83.91651
72,84.53542
73,84.52881
74,84.176414
75,84.44509
76,85.246956
77,85.43244
78,84.796005
79,84.17554
80,84.83133
81,85.19421
82,83.76753
83,83.005356
84,82.3347
85,82.41617
86,83.26294
87,83.73715
88,85.05033
89,84.559845
90,84.29052
91,83.83589
92,81.99765
93,81.01333
94,81.09131
95,79.387215
96,79.15777
97,80.04246
98,80.22322
99,80.015175
100,79.63284
101,79.82595
102,80.29593
103,82.76317
104,81.485596
105,81.64516
106,79.2202
107,79.20039
108,79.05008
109,78.93901
110,78.865204
111,78.78952
112,78.73551
113,78.68187
114,84.19859
115,84.51558
116,84.685074
117,85.602646
118,86.09647
119,87.59049
120,89.40573
121,89.89189
122,87.35211
123,86.31278
124,87.819305
125,87.598526
126,86.7794
127,86.68496
128,88.133316
129,86.15138
130,85.33599
131,85.62233
132,85.62715
133,85.614914
134,85.5972
135,85.58318
136,93.076706
137,92.89661
138,93.46696
139,92.661415
140,92.047485
141,92.01693
142,95.45273
143,95.02852
144,88.94063
145,88.22014
146,87.575066
147,87.23998
148,87.438965
149,87.594894
150,85.981674
151,85.55306
152,85.5284
153,86.38508
154,88.19361
155,86.253296
156,86.79268
157,85.658875
158,85.07611
159,84.305176
160,86.57336
161,85.75673
162,91.054756
163,92.48973
164,93.33213
165,83.39299
166,83.43824
167,85.00151
168,84.40737
169,84.74953
170,83.35242
171,81.9417
172,82.18548
173,86.466225
174,86.86236
175,82.998856
176,82.63269
177,82.52175
178,82.49561
179,83.10586
180,85.30305
181,87.75885
182,87.57365
183,90.07476
184,87.76433
185,86.22786
186,85.28834
187,85.396675
188,86.12561
189,86.89906
190,88.358574
191,87.652664
192,87.71367
193,87.74155
194,90.40584
195,90.30605
196,88.44383
197,88.21253
198,88.208984
199,89.32206
200,90.15417
201,85.109474
202,83.6358
203,85.01537
204,85.67892
205,85.63656
206,85.57021
207,85.55585
208,85.52845
209,85.49128
210,85.45933
211,85.44594
212,85.43506
213,85.448074
214,86.80953
215,88.380005
216,85.62386
217,84.95949
218,84.70716
219,83.8748
220,82.60414
221,82.22527
222,88.23718
223,88.38497
224,87.54022
225,87.83028
226,88.252304
227,87.50612
228,87.15894
229,85.83124
230,85.613464
231,85.9661
232,86.11041
233,82.45098
234,83.92368
235,84.68585
236,85.29068
237,85.59583
238,87.80521
239,87.13834
240,86.84348
241,85.657814
242,85.80609
243,87.249825
244,86.12528
245,85.019165
246,85.869774
247,82.77576
248,83.11469
249,84.223854
250,84.79764
251,83.11967
252,81.94598
253,80.228134
254,82.33889
255,81.7433
256,81.1656
257,82.21164
258,81.42559
259,80.89343
260,85.07679
261,84.12384
262,82.4289
263,84.63621
264,82.02099
265,80.87271
266,79.78869
267,80.422714
268,80.41066
269,79.73455
270,78.9297
271,79.72523
272,79.09833
273,79.52462
274,80.3616
275,80.206535
276,80.04996
277,81.18184
278,81.73266
279,80.21239
