,HeartRate
0,88.59432
1,89.81239
2,89.297325
3,83.288185
4,83.5579
5,82.32095
6,82.31171
7,80.06233
8,79.519455
9,79.69936
10,82.54945
11,80.5355
12,80.23061
13,79.15322
14,77.59099
15,77.02596
16,78.760284
17,80.92174
18,82.13296
19,84.83067
20,86.06459
21,88.79607
22,83.30911
23,81.665146
24,85.364555
25,83.942764
26,81.270035
27,84.5395
28,86.46405
29,87.36482
30,89.46374
31,90.370476
32,91.76069
33,93.71139
34,94.54829
35,91.76476
36,90.64867
37,95.03271
38,89.6959
39,87.67815
40,87.89287
41,88.571625
42,88.58044
43,93.46676
44,95.963295
45,96.93359
46,98.788246
47,99.2821
48,97.871216
49,96.423256
50,100.498436
51,103.4312
52,94.85034
53,98.80939
54,102.822754
55,88.85785
56,90.70021
57,93.507935
58,91.92044
59,84.94156
60,83.539764
61,83.02163
62,85.990715
63,86.35681
64,85.76738
65,83.19266
66,85.19834
67,90.172005
68,92.89934
69,95.313896
70,99.43871
71,99.7966
72,89.71423
73,91.6955
74,93.844986
75,90.0629
76,88.192955
77,85.6994
78,89.67252
79,99.10828
80,97.41102
81,94.56107
82,90.432594
83,90.86804
84,93.71814
85,93.85854
86,93.85815
87,93.15159
88,92.04968
89,89.81804
90,88.15872
91,87.07497
92,86.1283
93,85.50059
94,84.6928
95,82.03995
96,81.12767
97,79.94242
98,79.86934
99,80.025925
100,80.44633
101,81.6672
102,81.85453
103,85.40168
104,86.28503
105,85.16081
106,84.35336
107,83.30039
108,82.159065
109,81.73469
110,82.05386
111,87.46253
112,80.161385
113,78.81154
114,78.23716
115,79.988686
116,80.73582
117,82.56685
118,84.7473
119,86.07588
120,85.79606
121,86.90553
122,87.96462
123,89.31684
124,88.84197
125,87.50064
126,87.84883
127,88.47018
128,84.71325
129,83.33678
130,84.51827
131,86.641335
132,86.04547
133,87.949585
134,89.01674
135,88.3087
136,81.35759
137,82.003914
138,79.64924
139,79.70336
140,79.78785
141,78.84966
142,80.62858
143,83.3352
144,79.12741
145,78.8345
146,82.794945
147,82.05943
148,78.62239
149,83.56461
150,87.37308
151,83.71353
152,82.7832
153,78.27658
154,84.25861
155,85.00066
156,81.73146
157,80.21957
158,78.76442
159,78.35152
160,80.02765
161,79.75856
162,79.33462
163,78.34831
164,78.77358
165,79.76348
166,80.43566
167,79.35488
168,77.83005
169,81.47969
170,82.869125
171,82.3402
172,82.851074
173,83.735855
174,83.88386
175,79.166374
176,77.20677
177,76.2959
178,75.95693
179,76.18444
180,78.30085
181,82.39041
182,81.31837
183,80.50569
184,81.02195
185,81.03568
186,83.21897
187,81.92303
188,80.6624
189,82.17965
190,81.11001
191,80.7952
192,80.90323
193,79.806015
194,82.74877
195,86.66799
196,90.36835
197,92.357475
198,89.42027
199,90.831604
200,94.78461
201,94.1958
202,96.79247
203,88.59833
204,92.88026
205,91.09397
206,93.492
207,93.650215
208,92.241806
209,88.00708
210,83.41841
211,82.98585
212,85.6992
213,85.01653
214,84.28488
215,84.42888
216,84.827286
217,84.08086
218,83.948296
219,85.20855
220,84.64546
221,83.06661
222,88.84329
223,88.746666
224,93.535645
225,94.73494
226,94.42823
227,94.48231
228,96.078705
229,96.64022
230,97.64936
231,102.641235
232,102.69225
233,100.31445
234,99.60725
235,101.797806
236,102.55105
237,102.54491
238,100.42589
239,98.11927
240,94.24921
241,89.18658
242,94.90144
243,100.15256
244,98.66955
245,94.957184
246,97.85152
247,95.86316
248,91.94399
249,86.93436
250,86.93349
251,85.354385
252,83.66354
253,90.63765
254,92.524254
255,99.13773
256,100.95583
257,101.505264
258,98.40744
259,104.22912
260,102.1181
261,97.53978
262,97.09973
263,96.59297
264,93.04756
265,97.46732
266,98.07182
267,99.185776
268,99.73877
269,89.39838
270,92.12139
271,92.574524
272,93.848694
273,91.749214
274,89.58011
275,91.10636
276,95.27042
277,94.86479
278,95.29316
279,94.00611
280,88.089554
281,87.744064
282,86.48212
283,83.98324
284,84.05316
285,84.47569
286,85.8195
287,87.44892
288,82.743484
289,85.66711
290,86.394135
291,83.68628
292,80.76069
293,80.27816
294,80.149025
295,86.61151
296,84.022385
297,84.19467
298,84.43064
299,83.80473
300,81.27294
301,81.455025
302,84.006424
303,83.95159
304,89.19182
305,79.85983
306,82.07384
307,82.74735
308,82.413574
309,81.399895
310,81.675316
311,85.52317
312,89.82472
313,91.24383
314,92.540726
315,91.80356
316,90.05321
317,94.847626
318,93.77335
319,86.539825
320,86.60361
321,85.14339
322,90.54592
323,86.60222
324,85.13742
325,85.44906
326,86.249664
327,87.63835
328,91.06062
329,89.41916
330,84.07179
331,86.391266
332,87.083275
333,89.799065
334,90.373634
335,87.632774
336,90.69235
337,83.68068
338,82.45593
339,81.35427
340,80.54925
341,80.243965
342,85.12882
343,86.958824
344,88.287544
345,81.47944
346,80.7445
347,84.29328
348,88.11308
349,87.673874
350,93.293175
351,96.50194
352,97.88811
353,103.693756
354,103.7673
355,100.83889
356,100.867355
357,98.37172
358,98.30115
359,102.04019
360,105.90797
361,114.54433
362,122.05151
363,124.94756
364,128.00612
365,129.75716
366,130.89847
367,129.25826
368,128.31427
369,125.44256
370,123.37753
371,124.50564
372,125.93427
373,121.85016
374,115.552864
375,115.134705
376,118.22031
377,113.28518
378,104.65278
379,103.69654
380,103.65444
381,104.954094
382,106.2769
383,103.93817
384,101.36015
385,100.15569
386,99.20245
387,98.86691
388,106.92571
389,109.1056
390,108.601036
391,108.437355
392,109.02562
393,104.73276
394,103.59857
395,103.60508
396,103.039055
397,101.697685
398,99.00346
399,96.81813
400,96.71982
401,97.55943
402,99.60246
403,104.14288
404,100.268295
405,102.84662
406,102.87142
407,99.5943
408,101.06013
409,101.50975
410,98.27752
411,94.538345
412,92.06068
413,92.885345
414,92.91131
415,95.29184
416,90.87874
417,87.85044
418,88.53033
419,87.87457
420,86.772026
421,89.39042
422,87.12832
423,86.972
424,85.710175
425,85.90343
426,85.66771
427,86.003426
428,91.51787
429,94.31546
430,93.9322
431,95.762344
432,97.458046
433,104.84433
434,102.929054
435,101.14836
436,95.841896
437,95.70374
438,96.224205
439,96.63204
440,96.89664
441,98.8386
442,99.25055
443,98.72941
444,99.29653
445,100.104126
446,101.30449
447,102.83852
448,104.744514
449,106.20781
450,107.844475
451,108.29249
452,108.51656
453,108.94044
454,110.580894
455,111.43933
456,112.48068
457,114.391655
458,114.35058
459,112.13842
460,112.958244
461,113.03703
462,112.523384
463,112.19903
464,111.28379
465,110.61345
466,112.86586
467,113.42443
468,104.87412
469,103.028046
470,102.677826
471,103.732506
472,103.433685
473,101.91901
474,101.82742
475,102.044876
476,102.04158
477,101.97935
478,101.13885
479,100.71891
480,102.264626
481,101.84604
482,101.8441
483,100.72191
484,100.562965
485,100.82838
486,102.21128
487,104.526375
488,99.86966
489,102.60052
490,99.15935
491,100.38302
492,100.22001
493,98.53823
494,98.93363
495,97.89336
496,103.89364
497,94.95995
498,94.34756
499,101.739136
500,103.2798
501,103.107666
502,98.60609
503,100.16112
504,101.33384
505,100.25394
506,99.63057
507,98.05331
508,97.32776
509,98.071465
510,97.92158
511,95.755325
512,98.128815
513,97.28685
514,97.79115
515,98.9756
516,92.348625
517,90.00001
518,89.331604
519,93.61302
520,93.9812
521,91.94821
522,90.70607
523,88.445244
524,86.42152
525,85.837006
526,89.242096
527,87.21131
528,86.92148
529,88.3942
530,86.953026
531,88.6836
532,89.85187
533,90.13432
534,89.80191
535,90.13337
536,90.53518
537,90.90284
538,91.84754
539,91.751236
540,88.88443
541,87.017044
542,91.98888
543,93.02138
544,96.40461
545,96.61908
546,97.76075
547,99.481346
548,91.22253
549,92.432434
550,94.22364
551,93.16162
552,88.13466
553,92.34744
554,89.596405
555,89.25683
556,88.380005
557,84.71595
558,83.382935
559,84.79877
560,84.127884
561,82.23959
562,82.18635
563,83.63882
564,84.014694
565,83.44559
566,81.93889
567,83.9305
568,89.14837
569,88.19875
570,88.88222
571,89.61269
572,88.028915
573,90.448784
574,89.54205
575,87.97315
576,88.281494
577,92.77084
578,99.647285
579,100.756744
580,89.32918
581,85.5631
582,84.69475
583,85.13787
584,85.62864
585,82.7314
586,82.13111
587,86.593704
588,88.4171
589,90.48292
590,94.158745
591,94.129555
592,93.28191
593,88.824905
594,89.75709
595,87.54275
596,84.261
597,86.157455
598,87.95776
599,84.34528
600,81.74655
601,82.39741
602,85.32171
603,88.983665
604,87.678474
605,86.246635
606,88.59871
607,85.61281
608,89.05265
609,92.358
610,86.24238
611,85.150375
612,81.41145
613,80.97352
614,79.29834
615,79.412575
616,79.779045
617,77.666595
618,78.812904
619,77.09004
620,80.93869
621,81.84862
622,82.226
623,82.02862
624,82.76144
625,82.19208
626,80.290924
627,88.05946
628,89.322044
629,91.5954
630,94.22262
631,96.87032
632,97.64283
633,89.4387
634,90.20469
635,93.62331
636,92.84072
637,92.95355
638,85.87311
639,82.888626
640,81.6926
641,79.79813
642,78.711525
643,78.32638
644,78.08804
645,81.6632
646,80.66052
647,79.7189
648,80.45802
649,82.14
650,80.27764
651,82.0672
652,80.80135
653,83.43596
654,78.21915
655,77.96702
656,76.345245
657,78.39247
658,77.3117
659,76.358604
660,75.75712
661,77.779526
662,79.20604
663,79.21896
664,78.975655
665,76.83353
666,78.15335
667,79.2857
668,79.68302
669,79.21124
670,82.43392
671,80.603096
672,81.58194
673,75.99516
674,76.514725
675,77.44937
676,75.83785
677,74.13019
678,73.342545
679,75.20342
680,75.169205
681,78.7104
682,78.428375
683,76.72821
684,77.187065
685,77.6776
686,73.778595
687,74.60537
688,77.855484
689,77.04955
690,76.96672
691,78.84868
692,81.01858
693,82.44288
694,81.689026
695,86.14044
696,88.26103
697,86.443054
698,83.809364
699,86.71429
700,82.40028
701,82.43004
702,82.20948
703,81.91144
704,84.550705
705,81.6248
706,77.87675
707,77.6077
708,77.29889
709,75.86509
710,75.71835
711,75.0221
712,74.31526
713,74.905235
714,77.00944
715,80.41169
716,75.276596
717,76.84862
718,76.57354
719,74.8915
720,75.56737
721,76.81679
722,77.735214
723,76.49809
724,74.97464
725,80.85764
726,74.426674
727,77.65183
728,80.20406
729,79.57306
730,73.98868
731,73.29921
732,76.848206
733,80.44157
734,80.89103
735,75.74974
736,76.32835
737,78.45011
738,75.74332
739,73.37841
740,77.02284
741,76.53201
742,74.50147
743,72.41158
744,73.71875
745,73.491646
746,72.348564
747,71.8132
748,72.831635
749,74.60124
750,78.22139
751,75.195244
752,75.07722
753,74.85449
754,71.91459
755,71.78555
756,74.3941
757,70.55777
758,70.9403
759,70.67501
760,71.218956
761,72.2339
762,71.961334
763,73.77573
764,74.688614
765,73.705124
766,74.38437
767,74.39829
768,82.23466
769,79.458275
770,76.44741
771,84.14308
772,87.93377
773,81.62704
774,84.71314
775,87.49375
776,92.75868
777,83.5157
778,78.82271
779,75.6509
780,75.603836
781,74.84078
782,81.3287
783,82.15819
784,78.39134
785,78.40202
786,76.053024
787,77.050766
788,74.77482
789,73.90359
790,77.84531
791,79.04627
792,83.293915
793,77.96441
794,76.88424
795,73.75043
796,73.68734
797,73.23698
798,76.91471
799,81.53364
800,77.16146
801,74.20154
802,73.24995
803,72.69053
804,80.19956
805,78.45971
806,80.90204
807,74.92577
808,73.06828
809,72.756516
810,75.08583
811,72.53142
812,74.03293
813,75.77573
814,77.73911
815,74.0066
816,73.153305
817,74.80895
818,72.57749
819,73.001755
820,74.39983
821,73.308975
822,73.373245
823,71.61195
824,72.8797
825,71.53953
826,71.846855
827,73.738396
828,73.98139
829,71.004166
830,70.72172
831,78.8872
832,74.012695
833,74.85182
834,75.39791
835,76.406815
836,75.763466
837,74.53795
838,75.67704
839,76.79558
840,77.20381
841,76.129776
842,79.2794
843,78.25545
844,73.52453
845,74.71994
846,71.6493
847,72.15688
848,72.73149
849,77.80471
850,76.29664
851,80.20386
852,76.4985
853,75.720924
854,72.74416
855,72.0076
856,74.01659
857,78.05551
858,75.02773
859,78.685234
860,75.17308
861,83.28253
862,80.58144
863,84.60993
864,85.8592
865,84.53553
866,83.29397
867,86.51048
868,81.59332
869,75.64341
870,74.13278
871,73.070694
872,73.00711
873,72.53448
874,72.6213
875,72.95077
876,72.48428
877,70.23912
878,70.358055
879,71.29247
880,70.55116
881,70.71884
882,71.697464
883,69.38951
884,69.49964
885,74.25159
886,71.8122
887,69.68586
888,72.68641
889,76.74569
890,74.892654
891,72.854
892,72.2336
893,71.20438
894,71.51653
895,70.64955
896,72.42411
897,72.64591
898,76.81406
899,79.39776
900,77.10482
