,HeartRate
0,90.97177
1,90.93955
2,91.91009
3,92.162254
4,91.38204
5,90.64897
6,90.59086
7,90.77166
8,90.705986
9,90.75963
10,90.72173
11,90.48038
12,90.00983
13,89.85505
14,89.830345
15,89.8928
16,90.089005
17,90.751495
18,90.771736
19,90.77839
20,90.98694
21,91.49879
22,91.217064
23,90.34943
24,90.00396
25,90.08602
26,90.068954
27,90.419205
28,90.637695
29,90.75411
30,90.713326
31,90.50987
32,90.27135
33,90.047745
34,90.091995
35,90.43841
36,90.725136
37,91.0317
38,91.143745
39,91.13532
40,91.16226
41,92.51964
42,91.245705
43,90.89349
44,90.85113
45,90.770386
46,90.75974
47,90.79603
48,90.79024
49,90.69002
50,90.68552
51,90.91135
52,90.819405
53,90.67159
54,90.47649
55,90.46983
56,90.626816
57,90.794754
58,90.87689
59,90.86549
60,90.771645
61,90.709656
62,90.533066
63,90.44313
64,90.4521
65,90.65481
66,90.75167
67,90.74213
68,90.54617
69,90.510376
70,91.009445
71,91.509544
72,91.36916
73,90.85746
74,91.01049
75,91.00666
76,90.9787
77,91.05702
78,91.69104
79,92.10619
80,92.16335
81,92.05997
82,91.29082
83,91.28182
84,91.35132
85,92.78255
86,91.1756
87,90.03069
88,90.02781
89,90.35941
90,90.8554
91,91.98206
92,91.63478
93,91.536224
94,90.88212
95,90.50427
96,90.3848
97,90.3052
98,89.91745
99,89.32283
100,88.76114
101,88.54637
102,88.73107
103,89.93402
104,89.83601
105,88.86849
106,88.76662
107,89.28037
108,89.04937
109,88.27089
110,89.37021
111,90.028984
112,90.068214
113,89.947685
114,89.78533
115,89.69355
116,89.90398
117,90.90211
118,90.8991
119,91.64512
120,90.9136
121,90.953224
122,91.10778
123,91.61104
124,91.28881
125,91.19046
126,90.366196
127,90.22962
128,90.33282
129,89.85356
130,89.78789
131,90.02417
132,89.9887
133,89.96404
134,89.986595
135,90.00205
136,89.82577
137,89.65162
138,89.21719
139,88.851326
140,88.20377
141,87.79646
142,88.0
143,88.3145
144,88.170586
145,88.33151
146,88.43877
147,88.266014
148,88.26461
149,88.437126
150,88.38215
151,88.51434
152,88.6228
153,88.73962
154,88.78942
155,88.70155
156,88.47445
157,88.396034
158,88.726395
159,90.367546
160,90.459656
161,90.357185
162,90.69893
163,91.23556
164,91.60203
165,91.299644
166,91.08914
167,91.176476
168,90.97763
169,90.55964
170,90.55962
171,90.78222
172,90.88312
173,90.46394
174,90.16573
175,90.33219
176,90.22797
177,90.058914
178,89.67306
179,90.146545
180,89.43835
181,88.394295
182,88.22952
183,88.47216
184,88.41596
185,88.114944
186,90.02393
187,90.605896
188,91.13609
189,91.74873
190,91.84091
191,91.53282
192,90.59928
193,89.32439
194,89.128365
195,88.94083
196,88.43812
197,89.66502
198,89.962875
199,90.15166
200,89.66947
201,89.769485
202,90.037186
203,90.23491
204,90.349144
205,90.188065
206,90.10655
207,90.48893
208,90.26342
