,HeartRate
0,90.5633
1,90.52626
2,91.60027
3,91.87041
4,90.99959
5,90.198784
6,90.16335
7,90.38294
8,90.31742
9,90.38673
10,90.34416
11,90.06658
12,89.55567
13,89.40509
14,89.40033
15,89.471146
16,89.71533
17,90.44818
18,90.44435
19,90.44517
20,90.66039
21,91.21937
22,90.90764
23,89.937256
24,89.57847
25,89.67052
26,89.67287
27,90.06339
28,90.304756
29,90.42555
30,90.38136
31,90.15142
32,89.90045
33,89.66467
34,89.72246
35,90.10624
36,90.41452
37,90.73904
38,90.845665
39,90.83053
40,90.85938
41,92.333534
42,90.91071
43,90.52392
44,90.47895
45,90.3826
46,90.37684
47,90.42085
48,90.424416
49,90.31901
50,90.319916
51,90.57128
52,90.45449
53,90.29814
54,90.08435
55,90.08404
56,90.26216
57,90.44974
58,90.54507
59,90.52844
60,90.42187
61,90.3533
62,90.150894
63,90.06057
64,90.07586
65,90.311905
66,90.42014
67,90.41081
68,90.185074
69,90.14732
70,90.69827
71,91.241806
72,91.07297
73,90.50323
74,90.66949
75,90.661316
76,90.63105
77,90.714134
78,91.40498
79,91.84102
80,91.89111
81,91.76261
82,90.90649
83,90.911385
84,90.98858
85,92.55817
86,90.764984
87,89.52097
88,89.54308
89,89.93072
90,90.49151
91,91.72072
92,91.320114
93,91.20524
94,90.47982
95,90.078064
96,89.95533
97,89.87771
98,89.463425
99,88.82759
100,88.236046
101,88.03065
102,88.26434
103,89.6086
104,89.49817
105,88.43664
106,88.347496
107,88.91762
108,88.66054
109,87.816284
110,89.059105
111,89.762886
112,89.7915
113,89.65131
114,89.47191
115,89.36221
116,89.59298
117,90.680885
118,90.64262
119,91.44209
120,90.62714
121,90.66757
122,90.8249
123,91.36441
124,90.99619
125,90.87946
126,89.96591
127,89.83532
128,89.954956
129,89.42852
130,89.374344
131,89.64705
132,89.61761
133,89.59762
134,89.62186
135,89.63468
136,89.444595
137,89.25921
138,88.781944
139,88.40069
140,87.70486
141,87.27879
142,87.5396
143,87.91153
144,87.758286
145,87.952515
146,88.07962
147,87.89451
148,87.90224
149,88.10291
150,88.04672
151,88.18854
152,88.29909
153,88.4323
154,88.4902
155,88.386154
156,88.13471
157,88.05233
158,88.432625
159,90.22213
160,90.28039
161,90.147484
162,90.494095
163,91.0616
164,91.432274
165,91.07302
166,90.82991
167,90.90881
168,90.68447
169,90.22219
170,90.2216
171,90.460365
172,90.57276
173,90.106766
174,89.781456
175,89.971466
176,89.86015
177,89.67724
178,89.25228
179,89.787186
180,88.99995
181,87.8671
182,87.723915
183,88.02352
184,87.98503
185,87.6632
186,89.78284
187,90.38048
188,90.936424
189,91.5658
190,91.64881
191,91.29332
192,90.25482
193,88.843544
194,88.66107
195,88.485794
196,87.9558
197,89.34927
198,89.67034
199,89.87024
200,89.337135
201,89.45075
202,89.74548
203,89.961945
204,90.06898
205,89.88033
206,89.7924
207,90.204315
208,89.94989
209,90.26677
210,90.38053
211,89.10031
212,88.630775
213,88.326675
214,88.547935
215,88.472565
216,88.37176
217,88.32919
218,88.25402
219,88.17663
220,88.19662
221,88.19056
222,88.104675
223,87.838844
224,87.63385
225,87.608925
226,87.68137
227,87.77825
228,88.70888
229,88.63933
230,88.33065
231,88.967514
232,89.78003
233,91.94558
234,92.73507
235,93.06105
236,93.06235
237,91.71006
238,92.03124
239,90.10896
240,89.62205
241,90.052895
242,90.461235
243,90.727165
244,91.226585
245,92.0306
246,91.298164
247,91.725044
248,92.91602
249,93.380325
250,93.70101
251,94.87365
252,95.51311
253,96.17072
254,96.305916
255,96.16834
256,94.54372
257,93.80009
258,91.48778
259,96.074715
260,92.129
261,91.896614
262,91.8501
263,91.8137
264,91.78975
265,97.28199
266,96.679695
267,96.601234
268,96.546906
269,96.282555
270,95.26736
271,95.119385
272,94.71252
273,94.14077
274,93.937485
275,93.41361
276,95.83757
277,93.34912
278,93.80272
279,93.62467
280,94.05917
281,92.82474
282,92.88012
283,92.80223
284,92.971565
285,92.49872
286,92.405426
287,92.12531
288,92.37613
289,92.16124
290,91.38021
291,91.715416
292,91.60921
293,94.141464
294,93.3159
295,92.85804
296,93.087814
297,89.39616
298,90.256485
299,91.77879
300,90.30513
301,90.35129
302,90.814476
303,90.85576
304,90.22549
305,90.322876
306,91.41318
307,92.9956
308,92.79961
309,92.76563
310,92.49912
311,92.150085
312,90.54881
313,90.18568
314,90.87116
315,90.58161
316,89.128
317,89.07657
318,89.14486
319,89.48669
320,90.084175
321,90.63493
322,91.0406
323,91.19628
324,91.22466
325,91.49362
326,92.68025
327,94.22203
328,93.35084
329,92.18301
330,92.365295
331,92.699585
332,92.277596
333,91.50222
334,91.005714
335,90.562485
336,90.629036
337,90.745804
338,90.81185
339,90.69189
340,90.40296
341,90.221
342,90.096924
343,90.153656
344,89.5059
345,89.070946
346,89.604744
347,89.893265
348,90.08673
349,90.005714
350,89.98894
351,90.00849
352,89.86642
353,89.70743
354,89.46877
355,89.30785
356,89.13283
357,89.15328
358,89.41985
359,89.750374
360,89.89108
361,90.087685
362,92.47081
363,92.025955
364,92.26416
365,92.07894
366,91.785904
367,91.75731
368,91.32373
369,90.5438
370,90.59012
371,90.68535
372,91.146645
373,90.9184
374,91.654816
375,91.34645
376,90.780685
377,91.23659
378,91.11266
379,91.03234
380,90.403694
381,90.339966
382,90.37459
383,89.00997
384,88.26054
385,88.40331
386,88.470085
387,88.591736
388,88.92515
389,89.295715
390,89.72113
391,89.22971
392,92.916245
393,93.796715
394,93.635345
395,93.75434
396,93.69359
397,93.751816
398,93.86898
399,93.83917
400,93.75551
401,93.586
402,94.38992
403,95.217995
404,96.399704
405,96.72861
406,96.851875
407,96.88222
408,96.99913
