,HeartRate
0,70.99273
1,71.48401
2,73.12284
3,73.77853
4,77.18535
5,76.11008
6,75.27187
7,75.25126
8,74.712585
9,75.043205
10,75.95681
11,75.53394
12,75.19839
13,73.783554
14,74.18852
15,73.91565
16,74.18562
17,74.50607
18,74.88257
19,74.98272
20,75.58892
21,72.13741
22,71.864365
23,74.81037
24,75.3252
25,72.78086
26,71.96956
27,71.48189
28,72.91185
29,70.943
30,71.30177
31,71.81905
32,74.02828
33,76.227264
34,76.54902
35,72.27298
36,70.93866
37,71.02859
38,73.81498
39,74.08962
40,73.86191
41,73.298065
42,72.409
43,72.91825
44,74.49098
45,73.47187
46,73.08257
47,72.78
48,73.18386
49,73.148285
50,74.51851
51,74.915794
52,73.93379
53,73.012505
54,71.996765
55,71.23299
56,71.573044
57,73.97697
58,72.841545
59,73.44632
60,68.98103
61,67.93533
62,67.009125
63,66.27719
64,65.9183
65,65.488365
66,65.05049
67,67.10092
68,69.6106
69,71.095215
70,68.9036
71,68.428215
72,67.98893
73,67.42718
74,67.184746
75,69.20869
76,68.50717
77,68.31089
78,68.36413
79,71.95392
80,72.98396
81,71.30455
82,70.94051
83,70.58486
84,70.37229
85,69.74412
86,68.94605
87,69.56384
88,70.59746
89,71.79746
90,72.20513
91,71.525665
92,71.5668
93,71.401886
94,72.768364
95,74.41689
96,75.69492
97,74.53036
98,72.90911
99,72.68282
100,73.26723
101,71.29963
102,71.14235
103,72.305504
104,73.8489
105,74.53916
106,76.152306
107,76.43183
108,76.311165
109,76.62116
110,76.79166
111,77.38122
112,76.88947
113,75.92824
114,74.95548
115,73.57815
116,76.08323
117,80.16153
118,77.04893
119,74.4268
120,75.37555
121,76.62252
122,75.85516
123,75.51048
124,74.87008
125,75.09797
126,74.0802
127,73.52498
128,72.12416
129,71.776985
130,71.90495
131,71.77437
132,70.5145
133,69.71611
134,69.29939
135,70.57723
136,71.14052
137,69.23498
138,68.67182
139,67.91124
140,67.439835
141,67.23157
142,67.37259
143,66.89832
144,66.60922
145,66.54427
146,66.37335
147,66.59096
148,66.37302
149,66.4059
150,66.835205
151,66.22472
152,66.56931
153,68.39995
154,69.64143
155,67.17967
156,66.15539
157,65.784134
158,66.29239
159,66.8116
160,67.03737
161,66.63913
162,66.02387
163,65.3761
164,64.98914
165,65.20841
166,70.249306
167,72.40788
168,72.572495
169,68.01676
170,66.89657
171,66.73268
172,66.540016
173,66.21725
174,65.572426
175,65.21842
176,65.66014
177,66.126434
178,66.92827
179,66.673874
180,69.01188
181,66.68799
182,67.030754
183,67.35306
184,69.725395
185,70.61723
186,71.838326
187,70.934
188,70.08396
189,69.826805
190,70.49816
191,71.53516
192,74.28994
193,75.4689
194,76.59016
195,76.345085
196,74.92319
197,74.49835
198,75.158646
199,76.994415
200,78.08817
201,78.96177
202,79.403046
203,81.02693
204,81.6338
205,81.63143
206,81.157875
207,78.18925
208,77.13295
209,75.93235
210,74.49974
211,73.5028
212,73.44686
213,73.23743
214,73.89563
215,75.677055
216,77.150795
217,78.5338
218,76.06331
219,73.87458
220,72.96343
221,72.21672
222,71.61147
223,71.78684
224,72.145004
225,72.44974
226,74.146965
227,74.95516
228,75.25706
229,75.019554
230,74.43931
231,74.81661
232,74.90826
233,73.17687
234,74.65331
235,74.26573
236,72.80889
237,70.94886
238,72.52177
239,69.53128
240,68.640175
241,69.18943
242,68.892
243,68.80365
244,68.25479
245,68.06087
246,67.93573
247,68.257614
248,67.404106
249,66.78049
250,67.31775
251,67.51717
252,67.3049
253,66.72727
254,66.02387
255,66.721085
256,69.4897
257,66.02752
258,68.65091
259,65.70454
260,65.266594
261,66.16692
262,66.653946
263,66.34397
264,66.08722
265,66.00153
266,65.69138
267,64.89291
268,64.55372
269,65.1029
270,66.36443
271,67.906555
272,71.88024
273,68.16829
274,68.30266
275,66.80014
276,66.600464
277,66.40281
278,66.535835
279,66.32672
280,66.36016
281,65.74454
282,65.912
283,66.610855
284,67.21291
285,66.84787
286,66.60503
287,66.61521
288,69.63604
289,70.61352
290,69.1154
291,67.92747
292,68.47302
293,67.35462
294,67.03911
295,66.92161
296,68.15464
297,68.1806
298,68.9736
299,69.38978
300,70.783066
301,71.43683
302,72.81166
303,76.09879
304,76.984215
305,76.142525
306,75.560776
307,74.7354
308,74.69446
