,HeartRate
0,82.739204
1,83.70268
2,84.11367
3,84.0595
4,84.31498
5,84.2756
6,82.56504
7,81.76334
8,79.50757
9,78.94572
10,79.01263
11,79.60951
12,79.916336
13,79.66096
14,79.93389
15,80.17468
16,80.48029
17,80.57524
18,80.94835
19,80.01407
20,78.747025
21,79.772865
22,81.062904
23,81.69902
24,82.06263
25,81.92587
26,81.656715
27,81.73242
28,82.857506
29,83.704994
30,84.6698
31,84.55748
32,83.180725
33,82.59321
34,81.28766
35,82.14749
36,82.41705
37,82.318726
38,82.67873
39,83.455124
40,83.37408
41,82.719955
42,82.123856
43,82.23685
44,82.307465
45,81.50817
46,80.71171
47,80.798515
48,80.64175
49,80.82634
50,80.68391
51,80.50615
52,80.93712
53,81.260475
54,81.59891
55,82.855736
56,83.60144
57,84.059326
58,82.40523
59,81.361664
60,81.2148
61,81.20596
62,79.46556
63,79.90142
64,80.38688
65,80.47384
66,81.06137
67,81.57669
68,81.54691
69,81.56337
70,81.671
71,81.96368
72,82.12514
73,82.175995
74,80.8577
75,80.485275
76,80.058395
77,81.28333
78,81.75003
79,81.72324
80,83.16556
81,82.812904
82,81.3922
83,81.45484
84,81.85517
85,82.788506
86,80.00303
87,80.162346
88,81.304665
89,81.02224
90,80.2282
91,79.434845
92,79.10779
93,79.92445
94,81.08015
95,82.08348
96,82.64781
97,83.52889
98,83.21979
99,82.38864
100,81.92424
101,81.50347
102,81.79609
103,82.51134
104,83.03647
105,82.50369
106,82.40929
107,81.75125
108,83.131996
109,81.074066
110,81.0384
111,80.18878
112,78.920555
113,79.49486
114,80.50277
115,82.361984
116,82.41163
117,82.25329
118,82.087326
119,82.21765
120,82.42175
121,82.53477
122,82.28835
123,82.443054
124,83.3226
125,83.32743
126,83.35557
127,83.91822
128,84.099686
129,84.81517
130,85.66728
131,85.45537
132,85.12054
133,84.25908
134,83.25953
135,82.99861
136,82.0982
137,81.61426
138,81.69312
139,81.97553
140,83.19706
141,83.8854
142,84.28508
143,84.47342
144,84.379776
145,82.96687
146,81.5148
147,81.27295
148,81.806915
149,82.25295
150,81.995094
151,82.23655
152,82.10649
153,83.17956
154,84.52826
155,84.3931
156,84.0666
157,82.94923
158,82.09801
159,81.28229
160,80.91353
161,80.70022
162,80.69054
163,81.20677
164,81.46437
165,82.44894
166,82.19327
167,81.947365
168,81.534325
169,81.59538
170,82.6777
171,83.48813
172,83.465485
173,83.69557
174,83.98407
175,82.6497
176,81.23698
177,80.977264
178,81.419365
179,82.36136
180,83.4179
181,81.78186
182,78.80699
183,78.53531
184,79.25571
185,80.02433
186,80.29341
187,81.93545
188,83.6932
189,82.945786
190,81.85626
191,82.08119
192,82.02293
193,81.07857
194,80.86434
195,80.97664
196,80.02795
197,79.676956
198,79.893295
199,80.28546
200,80.59629
201,80.76166
202,81.8543
203,81.6911
204,81.588264
205,81.79165
206,80.20367
207,80.290115
208,80.5549
209,80.67785
210,80.595024
211,81.25939
212,81.35907
213,81.996574
214,82.50031
215,83.05192
216,81.84283
217,80.42314
218,80.067184
219,80.27227
220,80.76686
221,81.09463
222,80.588
223,80.19183
224,80.425934
225,81.591446
226,82.29697
227,81.35106
228,80.63406
229,80.066574
230,79.9326
231,80.69511
232,81.437386
233,81.19226
234,80.907196
235,81.1994
236,82.045074
237,82.97597
238,83.17639
239,83.88047
240,85.39087
241,86.61359
242,87.1637
243,86.86525
244,86.75953
245,84.22087
246,83.8407
247,83.74149
248,83.609245
249,83.39675
250,83.87222
251,84.26918
252,82.23122
253,81.40945
254,80.16351
255,80.05203
256,80.08803
257,79.759544
258,79.367584
259,79.72828
260,80.309746
261,80.47115
262,80.417854
263,81.885635
264,81.131355
265,80.659096
266,81.382774
267,81.2229
268,81.26993
269,81.21559
270,81.561066
271,81.74183
272,82.06947
273,82.21705
274,81.28296
275,80.911896
276,79.93028
277,78.73413
278,77.36639
279,76.73236
280,79.266136
