,HeartRate
0,70.61245
1,71.23804
2,73.02329
3,73.69757
4,77.238495
5,76.04019
6,75.09154
7,75.07269
8,74.528206
9,74.8477
10,75.780716
11,75.34857
12,74.96637
13,73.39944
14,73.891235
15,73.58471
16,73.91113
17,74.28594
18,74.69162
19,74.740395
20,75.41769
21,71.47546
22,71.25326
23,74.638336
24,75.10428
25,72.198425
26,71.29048
27,70.76795
28,72.47972
29,70.17993
30,70.65001
31,71.329185
32,73.83182
33,76.11598
34,76.389244
35,71.614914
36,70.138535
37,70.38026
38,73.66776
39,73.88081
40,73.58742
41,72.906654
42,71.938805
43,72.57002
44,74.311676
45,73.13277
46,72.67219
47,72.37196
48,72.83844
49,72.79139
50,74.315125
51,74.694885
52,73.583015
53,72.55272
54,71.42291
55,70.57254
56,70.993034
57,73.766075
58,72.42806
59,73.13673
60,67.917816
61,66.88012
62,65.916435
63,65.030426
64,64.634155
65,64.19703
66,63.755444
67,66.384224
68,69.2036
69,70.791534
70,68.26941
71,67.70911
72,67.17726
73,66.53242
74,66.292336
75,68.75689
76,67.92112
77,67.65886
78,67.718796
79,71.8522
80,72.97916
81,70.99853
82,70.509674
83,70.08063
84,69.87979
85,69.159996
86,68.248665
87,68.97957
88,70.215836
89,71.54662
90,71.947044
91,71.12721
92,71.14372
93,70.97077
94,72.51542
95,74.275856
96,75.62294
97,74.30858
98,72.47064
99,72.205376
100,72.87785
101,70.565216
102,70.46216
103,71.90922
104,73.65128
105,74.35351
106,76.05569
107,76.3071
108,76.14561
109,76.526245
110,76.63295
111,77.22591
112,76.638985
113,75.5918
114,74.52296
115,72.978134
116,75.88106
117,80.21645
118,76.79182
119,73.80921
120,74.95776
121,76.40687
122,75.54252
123,75.168945
124,74.40036
125,74.70866
126,73.527
127,72.94559
128,71.34759
129,71.051765
130,71.26354
131,71.15899
132,69.69724
133,68.87849
134,68.43429
135,70.00288
136,70.613525
137,68.36099
138,67.77898
139,66.96219
140,66.4393
141,66.22023
142,66.44396
143,65.93302
144,65.62656
145,65.59641
146,65.4345
147,65.706406
148,65.41667
149,65.422554
150,65.98696
151,65.298965
152,65.751625
153,67.871605
154,69.26095
155,66.33839
156,65.219574
157,64.779175
158,65.44608
159,66.072945
160,66.33326
161,65.80754
162,65.1031
163,64.37763
164,63.981266
165,64.26008
166,70.04216
167,72.29825
168,72.494804
169,67.29185
170,66.0727
171,65.93794
172,65.72475
173,65.30139
174,64.56722
175,64.196365
176,64.80084
177,65.35992
178,66.29773
179,65.990036
180,68.67044
181,65.918144
182,66.27419
183,66.65892
184,69.35594
185,70.33211
186,71.62825
187,70.61716
188,69.69239
189,69.42882
190,70.16517
191,71.307884
192,74.2708
193,75.48458
194,76.56724
195,76.27235
196,74.71357
197,74.27629
198,74.96552
199,76.918976
200,78.05758
201,78.94847
202,79.35794
203,80.95856
204,81.50966
205,81.50392
206,81.019394
207,77.822
208,76.69585
209,75.42035
210,73.83481
211,72.76067
212,72.781555
213,72.594406
214,73.42032
215,75.41505
216,76.990036
217,78.40075
218,75.69734
219,73.19456
220,72.20245
221,71.440285
222,70.84126
223,71.14536
224,71.60572
225,71.98283
226,73.92046
227,74.75295
228,75.03193
229,74.746765
230,74.10352
231,74.51143
232,74.62221
233,72.5921
234,74.323975
235,73.88604
236,72.21535
237,70.12563
238,72.07398
239,68.55371
240,67.65607
241,68.378555
242,68.09302
243,68.02538
244,67.36193
245,67.11849
246,67.01295
247,67.455
248,66.43184
249,65.743546
250,66.44152
251,66.731255
252,66.47081
253,65.78497
254,64.9798
255,65.93112
256,69.17516
257,64.9983
258,68.17284
259,64.59882
260,64.13665
261,65.27573
262,65.85474
263,65.47862
264,65.175835
265,65.10569
266,64.73436
267,63.858932
268,63.442173
269,64.146645
270,65.634155
271,67.360634
272,71.70949
273,67.5751
274,67.68863
275,65.93857
276,65.72701
277,65.56147
278,65.71436
279,65.52428
280,65.55545
281,64.870056
282,65.062126
283,65.91853
284,66.6041
285,66.126915
286,65.83434
287,65.860466
288,69.36198
