,HeartRate
0,100.02938
1,101.10888
2,101.97341
3,101.3129
4,101.52294
5,101.59348
6,101.543175
7,101.319084
8,103.71092
9,106.94693
10,107.14616
11,107.40222
12,107.62405
13,108.02951
14,108.13264
15,107.658676
16,106.996956
17,107.504364
18,107.48516
19,105.64733
20,107.41818
21,106.8583
22,105.97549
23,103.859634
24,104.12447
25,103.221
26,103.810905
27,104.40061
28,104.77341
29,105.2257
30,106.66146
31,104.23758
32,105.30074
33,104.89384
34,104.617294
35,102.83372
36,102.64166
37,103.33279
38,103.18308
39,102.96983
40,102.34815
41,102.201546
42,102.95619
43,103.47676
44,103.88169
45,104.01345
46,103.81061
47,103.86434
48,103.709724
49,103.68811
50,103.74934
51,103.92833
52,104.04075
53,104.09549
54,104.40728
55,104.42971
56,104.215485
57,103.955765
58,104.09874
59,104.102585
60,104.20113
61,104.86387
62,107.23559
63,105.75862
64,104.256355
65,102.05443
66,100.10489
67,98.72794
68,98.399475
69,98.27988
70,97.86979
71,97.533195
72,96.834206
73,96.71489
74,96.93179
75,96.72604
76,96.89532
77,96.21357
78,96.50945
79,96.6867
80,96.21834
81,97.12038
82,97.75977
83,98.689835
84,97.66019
85,96.95008
86,97.16506
87,96.8592
88,96.530556
89,96.43737
90,95.77964
91,96.09287
92,97.418465
93,97.12342
94,97.13199
95,97.28965
96,96.75464
97,96.95478
98,96.49253
99,97.268745
100,98.1514
101,100.76592
102,102.772705
103,103.20337
104,101.168495
105,101.37237
106,103.64183
107,102.85297
108,102.76246
109,103.67524
110,104.91487
111,106.81032
112,106.93566
113,103.6093
114,102.38216
115,100.73067
116,100.044106
117,99.1261
118,98.39305
119,98.12256
120,98.43127
121,98.908035
122,98.006454
123,97.498436
124,96.87887
125,95.54733
126,94.52637
127,93.39062
128,93.684944
129,93.82039
130,94.35809
131,95.32005
132,97.44943
133,99.75837
134,100.90525
135,101.664505
136,102.129524
137,102.13937
138,102.404915
139,102.721725
140,103.48541
141,103.24735
142,103.35708
143,104.80213
144,105.4151
145,107.81022
146,107.97959
147,107.25004
148,107.14997
149,106.2661
150,106.26075
151,106.563934
152,107.3717
153,108.027824
154,108.0784
155,106.945885
156,106.66179
157,106.50485
158,104.77214
159,103.08785
160,103.2682
161,103.20673
162,102.05871
163,101.29034
164,101.814545
165,101.63248
166,100.735405
167,99.26656
168,97.31458
169,97.73168
170,96.855675
171,96.84553
172,97.32097
173,98.481514
174,99.73049
175,99.89261
176,100.27693
177,100.90291
178,101.170845
179,100.214516
180,101.67677
181,101.72646
182,101.668434
183,101.386696
184,100.70053
185,100.42728
186,100.116165
187,100.27277
188,100.19147
189,100.36934
190,101.13071
191,101.87116
192,102.7581
193,103.58647
194,104.26137
195,104.8309
196,105.906815
197,106.89447
198,107.050415
199,107.60218
200,105.4412
201,104.43288
202,103.997154
203,104.698685
204,105.53473
205,105.725624
206,105.93503
207,106.09034
208,105.80295
209,105.59304
210,104.18257
211,106.057655
212,106.70003
213,106.97533
214,106.585724
215,105.48596
216,104.37834
217,103.90389
218,102.76464
219,101.722565
220,101.86679
221,101.74918
222,101.787926
223,101.016365
224,100.29018
225,100.00029
226,99.28671
227,98.21583
228,98.12615
229,96.94084
230,96.26964
231,96.40369
232,95.980995
233,95.29601
234,95.36281
235,95.34734
236,94.50439
237,94.17044
238,94.36897
239,94.34354
240,94.391594
241,94.47649
242,94.40563
243,94.91137
244,95.562325
245,96.51343
246,98.372696
247,98.33085
248,99.12735
249,100.30797
250,100.06914
251,99.18125
252,99.18753
253,99.8065
254,99.92295
255,100.0283
256,100.724495
257,100.95114
258,101.33041
259,101.575874
260,101.23308
261,101.49827
262,102.112015
263,101.92196
264,102.076
265,102.20487
266,101.36501
267,100.26765
268,99.20751
269,98.75383
270,97.925255
271,98.06368
272,99.01045
273,100.01347
274,100.53741
275,100.73566
276,103.47825
277,103.59631
278,103.040245
279,100.02888
280,96.041855
281,96.1211
282,95.71928
283,95.89978
284,96.141975
285,95.87976
286,95.49448
287,95.53988
288,95.70294
289,95.31027
290,94.57497
291,94.69562
292,94.7885
293,93.86035
294,93.306435
295,92.7366
296,93.73261
297,94.62539
298,93.08036
299,92.84524
300,92.8429
301,92.37116
302,91.59884
303,91.64718
304,90.76475
305,90.79945
306,91.551834
307,91.44552
308,91.24028
309,91.43627
310,91.31907
311,91.569824
312,91.4873
313,91.38517
314,91.374435
315,91.542114
316,91.14043
317,90.42648
318,91.28267
319,92.12918
320,91.94625
321,92.40292
322,92.57483
323,92.22712
324,91.97795
325,91.69406
326,94.21831
327,95.476074
328,96.164604
329,96.40542
330,95.26315
331,94.44695
332,94.438156
333,94.463875
334,94.83245
335,96.96825
336,95.40914
337,94.64411
338,93.843994
339,93.99868
340,93.705826
341,93.58536
342,93.46555
343,93.50125
344,93.76585
345,94.61439
346,95.98563
347,95.73337
348,95.302895
349,95.05733
350,95.07388
351,95.22018
352,95.255455
353,95.0771
354,95.09739
355,95.43468
356,95.80633
357,97.20535
358,97.29676
359,96.50113
360,96.877075
361,96.60413
362,96.39563
363,94.341064
364,94.391975
365,94.277565
366,94.10552
367,94.24464
368,96.377075
369,97.04249
370,97.40664
371,97.58097
372,98.59752
373,99.24307
374,101.68337
375,102.85571
376,104.45415
377,105.71645
378,102.33968
379,98.897446
380,98.81755
381,100.54133
382,99.96742
383,98.40832
384,96.83959
385,96.64072
386,99.432625
387,96.30297
388,93.93872
389,92.37973
390,91.73745
391,94.69112
392,92.64948
393,92.17415
394,91.82664
395,93.047806
396,95.99602
397,94.5706
398,94.237595
399,94.78617
400,92.97588
401,92.07041
402,93.10431
403,92.81659
404,93.36982
405,93.7264
406,95.09247
407,95.62291
408,95.80045
409,95.61103
410,100.177345
411,101.30429
412,102.76735
413,101.96579
414,101.24605
415,98.33028
416,97.84763
417,95.87988
418,94.74852
419,94.273895
420,93.79523
421,92.925606
422,92.882195
423,93.49561
424,96.41699
425,94.96165
426,94.16722
427,93.07414
428,93.55459
429,93.521
430,94.59212
431,93.80286
432,92.8367
433,92.949524
434,94.31853
435,95.08374
436,92.49085
437,91.32715
438,91.054375
439,90.816956
440,91.095245
441,90.873474
442,90.72623
443,90.25909
444,89.73137
445,89.10663
446,89.15936
447,89.15742
448,90.599304
449,91.295235
450,95.316505
451,93.89943
452,94.269516
453,94.441505
454,97.98322
455,99.4994
456,99.125656
457,98.634674
458,95.300385
459,94.911415
460,93.745094
461,93.51325
462,93.542656
463,93.48239
464,93.88639
465,94.163216
466,94.36058
467,94.80559
468,95.3569
469,94.36484
470,93.689064
471,93.00037
472,92.64877
473,92.727806
474,94.179665
475,93.62849
476,92.54675
477,92.56563
478,92.33533
479,91.05008
480,91.309525
481,90.49442
482,89.81207
483,89.88312
484,90.02149
485,91.04592
486,92.11516
487,92.53945
488,92.61758
489,92.96379
490,92.606285
491,93.206726
492,93.25169
493,93.635
494,93.7375
495,92.86701
496,91.47303
497,91.313644
498,91.31326
499,90.861786
500,90.73033
501,93.82516
502,90.99884
503,90.44101
504,89.936424
505,89.22491
506,90.72388
507,93.61487
508,95.02164
509,95.92471
510,96.294495
511,95.70266
512,96.184296
513,98.11918
514,96.06663
515,93.72577
516,93.012184
517,92.36852
518,91.8213
519,91.312416
520,91.097244
521,91.38388
522,91.12218
523,90.59533
524,90.51674
525,90.29598
526,90.29073
527,89.67389
528,90.070274
529,91.17541
530,89.57653
531,89.57464
532,89.42
533,89.058304
534,89.29882
535,88.54026
536,88.78504
537,88.841255
538,91.65559
539,92.30105
540,91.97137
541,89.286476
542,87.9461
543,87.673546
544,88.001175
545,87.820045
546,87.30029
547,86.98982
548,87.04297
549,87.09448
550,87.04387
551,86.95226
552,86.2551
553,88.89369
554,86.53203
555,87.858475
556,86.90981
557,86.553986
558,86.4828
559,86.97498
560,87.347694
561,86.78437
562,91.00123
563,91.39383
564,90.941795
565,89.62507
566,89.28258
567,89.46025
568,98.65115
569,98.36264
570,95.57466
571,96.08209
572,95.5107
573,100.45001
574,97.93488
575,100.51544
576,98.39963
577,97.868866
578,99.27961
579,99.45161
580,99.90786
581,99.69972
582,100.36193
583,101.45026
584,101.527374
585,101.31197
586,100.75512
587,99.319855
588,98.26543
589,97.63658
590,97.73751
591,97.61589
592,97.0486
593,96.94059
594,96.95011
595,100.38242
596,101.04305
597,100.89775
598,100.450424
599,99.57153
600,100.96136
601,102.3058
602,101.18153
603,98.8532
604,98.22967
605,98.44015
606,98.87064
607,98.9318
608,99.26108
609,101.67191
610,102.332184
611,102.71689
612,101.96302
613,99.06858
614,99.04557
615,99.59626
616,100.5206
617,99.08562
618,98.5573
619,101.04437
620,98.25587
621,100.068
622,102.238075
623,102.78253
624,102.808014
625,102.621925
626,101.67879
627,101.615456
628,100.82237
629,97.35821
630,95.61137
631,93.61272
632,92.26599
633,93.6822
634,94.182945
635,93.259605
636,92.10749
637,90.96032
638,89.756966
639,90.08581
640,88.88325
641,89.360886
642,88.97686
643,88.481514
644,88.76694
645,90.27519
646,94.54069
647,94.506744
648,93.19663
649,93.778145
650,96.19654
651,97.135254
652,95.4745
653,95.2792
654,96.148415
655,96.55737
656,95.41654
657,95.058754
658,95.755066
659,95.79547
660,95.642426
661,93.98759
662,93.021576
663,93.99506
664,93.00982
665,93.02439
666,94.28414
667,97.23807
668,98.61626
669,99.603096
670,99.70297
671,99.261475
672,98.80595
673,98.27976
674,98.258095
675,98.03468
676,97.64043
677,97.540184
678,99.24014
679,100.69268
680,103.830605
681,104.75494
682,105.185074
683,105.75838
684,102.309204
685,101.07905
686,100.835365
687,101.51627
688,100.77225
689,96.67639
690,96.96956
691,95.3278
692,94.252754
693,94.69413
694,95.451454
695,95.5732
696,94.621216
697,91.85632
698,90.092995
699,89.05439
700,89.115585
701,88.81077
702,87.83652
703,87.017365
704,87.363716
705,86.37756
706,85.52967
707,86.17033
708,87.56706
709,87.138
710,92.796745
711,93.15173
712,94.75006
713,95.31094
714,94.90806
715,92.8997
716,93.26396
717,95.656395
718,96.18316
719,96.84285
720,97.2131
721,98.50701
722,100.24079
723,100.200645
724,98.37161
725,98.891045
726,98.73014
727,98.5011
728,97.387146
729,98.78048
730,99.466385
731,100.0537
732,100.428795
733,100.28365
734,98.59542
735,97.55391
736,97.005295
737,92.267876
738,91.60032
739,90.23606
740,89.934525
741,91.119286
742,93.641785
743,95.889015
744,96.07115
745,95.01451
746,93.17906
747,92.24311
748,91.10781
749,90.33414
750,90.52756
751,90.675125
752,90.25162
753,89.396454
754,91.68237
755,90.64715
756,93.63297
757,93.74646
758,93.4266
759,89.29177
760,88.86325
761,90.57178
762,92.22972
763,90.90386
764,88.78456
765,86.98708
766,86.90081
767,88.6433
768,87.04623
769,86.18532
770,86.65833
771,88.107704
772,88.65125
773,87.973526
774,89.81184
775,91.83873
776,88.87554
777,87.24413
778,87.01863
779,86.70617
780,86.400276
781,86.29267
782,86.75245
783,87.084785
784,87.00387
785,86.85596
786,87.02285
787,86.82662
788,87.120605
789,87.15128
790,87.351074
791,87.2529
792,87.66643
793,87.86125
794,86.848656
795,86.60787
796,86.57581
797,86.91466
798,87.3166
799,89.72411
800,88.491295
801,86.92495
802,89.69632
803,89.32567
804,91.31249
805,91.99193
806,91.54365
807,91.2133
808,96.04301
809,100.78459
810,101.83514
811,100.8282
812,100.133545
813,99.76397
814,100.8334
815,101.12012
816,101.23762
817,102.24541
818,103.37397
819,102.26236
820,101.81222
821,102.833885
822,102.437096
823,100.496544
824,99.72693
825,98.74192
826,98.55719
827,98.41731
828,98.4897
829,100.15064
830,102.1764
831,102.170334
832,101.00952
833,98.050224
834,98.29423
835,97.99611
836,99.35042
837,97.79891
838,97.40237
839,97.53954
840,97.57536
841,98.27783
842,96.86844
843,98.82054
844,100.62769
845,100.307755
846,102.00162
847,102.61258
848,98.08228
849,100.397484
850,100.85615
851,100.90871
852,100.139824
853,99.714516
854,99.043846
855,98.52922
856,98.8598
857,98.919846
858,97.69853
859,97.9493
860,100.06571
861,101.0835
862,101.266594
863,99.18206
864,99.06003
865,99.09983
866,100.198944
867,100.99714
868,101.60053
869,98.795555
870,93.60985
871,94.90175
872,93.73468
873,94.426025
874,96.42292
875,97.122314
876,96.98326
877,96.036835
878,95.48353
879,94.78268
880,92.76203
881,92.161415
882,92.85422
883,92.59034
884,92.582466
885,92.8781
886,92.22061
887,95.44736
888,95.63394
889,94.87111
890,93.23405
891,93.18509
892,93.87006
893,94.20958
894,93.753235
895,93.48701
896,92.10457
897,95.21094
898,93.54631
899,93.60413
900,93.4971
901,92.09366
902,92.34575
903,93.48487
904,94.749794
905,96.079094
906,96.17502
907,95.85016
908,95.578896
909,95.43333
910,95.053894
911,93.00657
912,91.28049
913,90.7473
914,89.61895
915,88.92192
916,88.218796
917,89.07165
918,90.53968
919,90.24347
920,88.82531
921,88.35482
922,86.72732
923,85.68452
924,85.65708
925,87.34933
926,89.92247
927,89.97854
928,90.23218
929,90.507164
930,90.181305
931,90.7689
932,90.70334
933,88.969925
934,90.31217
935,90.08579
936,88.66026
937,87.664734
938,88.11443
939,87.42946
940,87.013885
941,86.69496
942,86.694855
943,86.246956
944,87.09658
945,91.2937
946,90.042305
947,91.66223
948,89.89177
949,89.81456
950,90.305855
951,88.15735
952,88.040825
953,88.853775
954,87.00167
955,86.54442
956,85.814766
957,84.76862
958,84.30349
959,83.73391
960,83.1578
961,83.17961
962,83.2088
963,83.59177
964,83.50135
965,83.33585
966,84.43711
967,86.65313
968,85.09042
969,85.53786
970,83.65207
971,84.75246
972,83.86728
973,83.4009
974,83.65459
975,83.484085
976,83.58011
977,83.75835
978,83.36779
979,83.11702
980,83.97905
981,84.328766
982,84.637665
983,85.10662
984,83.88767
985,84.93758
986,86.92123
987,87.088715
988,85.355125
989,84.55005
990,84.148094
991,86.31351
992,87.292366
993,86.97647
994,87.49
995,86.57927
996,85.82042
997,85.19961
998,84.876656
999,85.90217
1000,87.31983
1001,88.41398
1002,87.034065
1003,84.982254
1004,85.297806
1005,85.58823
1006,85.51336
1007,85.448616
1008,85.36665
1009,84.66792
1010,86.126884
1011,87.66643
1012,86.536995
1013,85.892426
1014,85.325294
1015,85.259636
1016,86.38575
1017,86.11252
1018,85.901726
1019,85.501884
1020,83.74029
1021,83.49164
