,HeartRate
0,65.32153
1,64.5518
2,63.628735
3,64.73115
4,65.61589
5,65.35737
6,65.81282
7,71.592636
8,71.464355
9,69.45945
10,65.11696
11,64.83993
12,64.17364
13,64.74325
14,70.49693
15,73.389915
16,73.03761
17,72.29847
18,72.75399
19,71.877144
20,71.72817
21,71.96073
22,74.80813
23,72.601685
24,71.69072
25,71.458916
26,70.61779
27,69.28062
28,68.450294
29,69.477356
30,70.66448
31,69.45019
32,67.1134
33,67.23143
34,65.49699
35,65.52371
36,66.408035
37,66.8477
38,66.12687
39,65.31967
40,65.068596
41,70.30333
42,71.300514
43,70.72212
44,70.37701
45,65.78948
46,67.09591
47,69.90157
48,71.17743
49,72.23422
50,69.30464
51,66.316505
52,66.42423
53,66.699295
54,66.08368
55,67.11751
56,69.94423
57,69.7553
58,68.13119
59,66.84888
60,68.61377
61,66.50182
62,66.04069
63,70.71595
64,68.928444
65,67.466736
66,68.9538
67,68.95283
68,69.13078
69,69.914276
70,70.21193
71,69.54899
72,68.53998
73,67.84332
74,68.373535
75,67.39785
76,66.755104
77,66.83127
78,67.26394
79,71.644104
80,73.12381
81,74.49093
82,67.79478
83,68.749466
84,70.68814
85,69.032295
86,69.56391
87,70.06153
88,70.621346
89,73.097305
90,74.9306
91,72.53289
92,72.77405
93,72.48273
94,71.78178
95,69.230385
96,68.1063
97,68.01741
98,67.68969
99,68.96406
100,74.185165
101,77.32584
102,77.10466
103,74.66819
104,73.11459
105,72.789856
106,73.76652
107,74.10881
108,70.33959
109,71.15105
110,71.382675
111,71.7287
112,73.19637
113,74.147
114,75.58899
115,76.00075
116,76.32565
117,77.31036
118,78.38526
119,79.49727
120,80.85923
121,80.7722
122,74.49089
123,74.605995
124,74.885635
125,72.36878
126,70.30381
127,69.17936
128,69.04957
129,67.49436
130,67.08565
131,67.181366
132,66.504684
133,68.97767
134,70.88088
135,74.75062
136,76.30252
137,75.707695
138,75.04133
139,73.9785
140,69.82596
141,69.504395
142,67.89655
143,69.09169
144,68.88851
145,68.753075
146,68.44612
147,66.88106
148,67.16767
149,68.309135
150,67.961174
151,66.96977
152,66.87976
153,66.62882
154,66.3405
155,66.5617
156,66.371254
157,64.52256
158,64.58686
159,64.278206
160,64.49252
161,64.91655
162,63.26993
163,62.915024
164,63.386757
165,63.32968
166,64.98213
167,63.294155
168,63.11756
169,63.506855
170,64.005455
171,63.731674
172,67.14411
173,66.847725
174,63.745567
175,64.66923
176,67.043304
177,65.99275
178,64.131
179,63.65628
180,62.84228
181,62.3957
182,64.16127
183,63.539455
184,64.79794
185,66.265236
186,64.63498
187,63.88714
188,63.48782
189,64.457275
190,64.5415
191,63.854183
192,64.38395
193,63.561924
194,64.810524
