,Breathing Rate
0,18.929321
1,18.904406
2,18.907944
3,18.93255
4,18.935175
5,18.937601
6,18.962856
7,25.277794
8,27.629124
9,25.419302
10,25.394274
11,25.350132
12,27.520966
13,27.479788
14,27.415527
15,27.363802
16,25.146214
17,25.071749
18,25.018635
19,24.979204
20,24.951113
21,23.813526
22,21.444609
23,21.406733
24,21.393845
25,21.384377
26,21.382618
27,21.147713
28,20.913937
29,20.936775
30,20.949558
31,20.472624
32,19.053288
33,17.185148
34,17.037235
35,16.665749
36,16.872326
37,16.830494
38,16.505337
39,16.45626
40,16.739546
41,16.756348
42,16.764162
43,17.381784
44,16.5192
45,17.438534
46,17.620272
47,18.949554
48,20.230717
49,20.24825
50,20.246439
51,21.786083
52,20.267225
53,20.222109
54,21.724257
55,20.226254
56,21.692818
57,20.199791
58,20.152119
59,20.586952
60,21.635874
61,21.642025
62,20.595457
63,20.583248
64,20.593117
65,20.598074
66,20.14867
67,20.600004
68,20.604902
69,19.510181
70,20.588623
71,20.606537
72,22.889563
73,22.924055
74,22.923332
75,22.939438
76,23.984125
77,26.44746
78,29.572378
79,32.127815
80,32.80192
81,33.495316
82,32.68278
83,32.611893
84,34.904934
85,32.49609
86,31.71658
87,31.683542
88,29.154625
89,29.099356
90,29.063784
91,31.555738
92,28.51925
93,26.090254
94,24.493664
95,24.485926
96,24.521385
97,24.559292
98,24.596365
99,24.656118
100,23.610458
101,23.615091
102,24.708704
103,24.728651
104,24.727703
105,28.928102
106,24.863596
107,28.949871
108,28.950932
109,28.917677
110,31.303104
111,31.274439
112,31.239475
113,31.206099
114,26.840914
115,31.119781
116,31.10995
117,31.090279
118,31.063251
119,31.030298
120,26.730492
121,28.06082
122,26.633638
123,26.61023
124,28.078087
125,28.125153
126,28.150442
127,28.171125
128,31.118244
129,31.10369
130,31.111946
131,31.106346
132,31.106094
133,31.10581
134,31.107428
135,31.061699
136,31.03789
137,31.007328
138,32.344288
139,30.9617
140,30.311956
141,29.124485
142,29.104088
143,28.585272
144,24.315313
145,23.251972
146,23.200603
147,23.193918
148,23.194181
149,23.205214
150,23.218159
151,23.913769
152,23.27138
153,23.302212
154,23.32754
155,24.041002
156,24.05713
157,24.085258
158,25.211458
159,25.19771
160,25.56494
161,25.145523
162,25.1135
163,24.345642
164,23.955029
165,23.951014
166,23.933153
167,24.289906
168,24.298416
169,24.289103
170,23.928684
171,23.258806
172,23.23107
173,23.241804
174,23.924957
175,23.27246
176,23.270153
177,23.957903
178,25.084967
179,25.09331
180,30.646194
181,30.645811
182,25.195059
183,31.214788
184,31.218027
185,31.177732
186,32.525345
187,32.490704
188,31.081726
189,27.18849
190,27.091404
191,27.04578
192,23.844358
193,23.431026
194,23.37717
195,23.410133
196,23.443155
197,23.423082
198,21.94534
199,21.952091
200,21.440975
201,21.468586
202,22.065939
203,21.562588
204,21.547985
205,21.559095
206,21.55729
207,23.669939
208,21.566088
209,20.541664
210,21.477173
211,20.502058
212,24.737225
213,24.775059
214,21.591757
215,21.509085
216,21.494976
217,21.493235
218,21.481
219,21.4722
220,20.491764
221,20.45726
222,20.461124
223,18.430147
224,18.313477
225,18.246922
226,21.349129
227,18.343477
228,21.406275
229,18.84109
230,21.426601
231,21.466866
232,24.783247
233,33.75686
234,33.70039
235,33.603085
236,27.50032
237,24.819155
238,24.698547
239,26.704247
240,26.231249
241,26.22063
242,26.170065
243,24.547325
244,26.095058
245,26.551357
246,26.088993
247,24.866217
248,24.947042
249,26.300497
250,25.131907
251,25.122702
252,26.370064
253,26.356628
254,26.35228
255,25.090498
256,25.060154
257,27.75139
258,28.26217
259,28.262962
260,28.25569
261,28.25384
262,28.248259
263,27.729958
264,22.236982
265,27.676708
266,27.70848
267,27.712107
268,27.729206
269,27.725853
270,27.722221
271,27.716297
272,24.707352
273,24.649952
274,22.08962
275,21.499008
276,21.982729
277,21.983429
278,22.58226
279,22.551025
280,22.57971
281,22.591938
282,21.488195
283,21.476786
284,21.500063
285,21.51947
286,21.546303
287,21.544676
288,22.097832
289,22.66951
290,22.660376
291,22.067656
292,22.042746
293,22.033827
294,22.938034
295,22.063501
296,22.059406
297,22.951498
298,25.965147
299,23.024208
300,22.957293
301,22.042765
302,22.00799
303,19.000961
304,18.869537
305,21.931982
306,21.977615
307,25.515175
308,25.546719
309,25.543736
310,25.525679
311,25.513252
312,25.50916
313,25.528236
314,25.518913
315,25.528774
316,25.503716
317,25.909565
318,25.856653
319,25.812363
320,25.793602
321,26.217741
322,25.796227
323,25.822998
324,25.830034
325,26.281506
326,28.788408
327,29.380392
328,29.964134
329,31.22235
330,31.198977
331,31.175207
332,29.314024
333,28.721249
334,29.252024
335,31.764078
336,29.263372
337,31.719967
338,31.70801
339,31.67517
340,31.653925
341,30.97943
342,30.98114
343,31.002987
344,30.39332
345,30.408667
346,31.055403
347,31.054638
348,31.038465
349,31.017567
350,31.02383
351,31.006601
352,31.014997
353,31.017603
354,31.02526
355,31.025988
356,32.406036
357,32.41421
358,30.410883
359,33.124367
360,30.404366
361,30.36819
362,33.900528
363,32.390854
364,30.382479
365,31.666992
366,31.666561
367,31.662432
368,32.354153
369,32.35075
370,32.338745
371,32.34339
372,32.34773
373,32.33353
374,32.338398
375,32.326775
376,31.619959
377,31.632175
378,31.630604
379,32.31355
380,32.311596
381,32.31194
382,33.032665
383,32.300842
384,32.30611
385,32.303673
386,32.29868
387,32.306496
388,32.30556
389,32.304886
390,32.306446
391,32.296696
392,32.290707
393,32.289196
394,32.281254
395,30.312424
396,30.291338
397,30.307913
398,30.309278
399,33.04824
400,33.0654
401,34.65159
402,34.64716
403,33.059696
404,34.62262
405,34.61615
406,34.607918
407,35.452545
408,34.59078
409,34.57331
410,35.384148
411,35.355125
412,34.47967
413,31.471724
414,30.796509
415,30.801348
416,30.816671
417,30.847008
418,30.859816
419,29.099857
420,29.101892
421,29.124628
422,27.589632
423,29.159964
424,29.200531
425,28.160389
426,28.178461
427,28.199535
428,27.692982
429,28.185287
430,28.188324
431,28.187239
432,28.19164
433,28.19679
434,28.188631
435,28.186447
436,30.45564
437,30.463205
438,29.859505
439,29.855488
440,29.845
441,29.828953
442,29.819883
443,29.803421
444,28.15058
445,28.125273
446,28.119345
447,27.605896
448,27.593256
449,23.965347
450,23.863205
451,23.854836
452,21.098091
453,23.822739
454,23.877018
455,27.707188
456,27.760952
457,27.782345
458,27.794046
459,27.788437
460,26.83656
461,26.826021
462,29.384193
463,26.860128
464,28.778688
465,26.780516
466,26.715343
467,26.661942
468,26.193947
469,26.173037
470,25.772612
471,25.369627
472,25.390852
473,24.632744
474,24.63902
475,25.421883
476,24.665619
477,24.678286
478,24.6749
479,23.969345
480,23.949446
481,20.075298
482,19.909126
483,19.841345
484,19.805939
485,21.95444
486,21.99672
487,23.943836
488,27.35964
489,24.06073
490,24.012459
491,24.01657
492,22.72825
493,22.137974
494,19.489517
495,19.36678
496,19.256872
497,19.182201
498,20.120882
499,20.09969
500,19.683628
501,19.675045
502,19.690788
503,19.746246
504,20.201948
505,20.24608
506,21.793573
507,20.33469
508,21.539097
509,21.532232
510,21.237095
511,21.469477
512,21.448296
513,21.44415
514,21.180334
515,21.422955
516,21.696201
517,21.418903
518,21.410566
519,21.134954
520,20.632334
521,20.629818
522,20.62987
523,20.633583
524,20.642359
525,18.518036
526,17.612242
527,18.366169
528,18.34869
529,19.22535
530,19.25065
531,19.263012
532,19.271418
533,19.278652
534,19.292479
535,19.503517
536,20.170404
537,20.20285
538,20.218763
539,21.480581
540,22.06039
541,23.314455
542,22.056028
543,22.021093
544,23.269836
545,23.282238
546,23.278984
547,22.02158
548,21.993773
549,21.980217
550,22.562243
551,22.266102
552,22.252497
553,22.245462
554,22.249517
555,22.253609
556,20.000668
557,22.230389
558,22.270437
559,20.21688
