,Breathing Rate
0,23.53586
1,28.816286
2,23.690056
3,28.830666
4,28.87454
5,31.9637
6,31.937763
7,29.396622
8,34.956223
9,34.94228
10,34.900635
11,34.8349
12,40.68105
13,40.58842
14,29.362158
15,29.06041
16,26.578264
17,26.461525
18,25.200832
19,25.162153
20,23.402355
21,23.36367
22,21.875305
23,21.864477
24,21.881336
25,21.665373
26,21.702522
27,21.816755
28,21.91583
29,21.907797
30,21.381287
31,21.882193
32,21.871557
33,21.844492
34,21.848787
35,21.815023
36,21.524683
37,21.50821
38,21.4961
39,21.497292
40,20.746054
41,20.73965
42,21.48485
43,20.75362
44,20.728582
45,21.469662
46,21.496159
47,21.511137
48,22.061129
49,22.979795
50,27.417305
51,30.79502
52,30.74064
53,30.685724
54,30.631557
55,31.216425
56,31.163363
57,32.50519
58,32.455017
59,32.408478
60,32.336517
61,30.308271
62,28.513578
63,25.26373
64,23.395689
65,23.334278
66,23.336113
67,23.357895
68,23.392689
69,23.432837
70,23.474466
71,23.51411
72,23.557072
73,25.504026
74,25.567413
75,25.618786
76,25.634172
77,25.63874
78,25.605488
79,25.56909
80,25.533335
81,25.50978
82,22.694033
83,21.50975
84,21.441921
85,21.411694
86,21.39616
87,21.397669
88,20.919504
89,20.930826
90,20.943596
91,21.469461
92,21.489952
93,21.781887
94,21.808926
95,22.112902
96,22.13463
97,22.415754
98,23.340185
99,24.38601
100,22.397175
101,22.333282
102,22.313654
103,22.602692
104,22.293465
105,22.577547
106,22.581587
107,22.281199
108,21.186728
109,22.258047
110,22.574825
111,22.588095
112,22.594095
113,22.60516
114,21.230923
115,21.194162
116,21.178293
117,21.984432
118,22.000502
119,22.001
120,22.004288
121,25.514263
122,25.5449
123,25.53372
124,25.53057
125,23.997442
126,25.508736
127,24.726059
128,24.70885
129,25.48548
130,26.33854
131,26.331684
132,26.311373
133,26.293907
134,29.33926
135,30.545698
136,30.556076
137,35.840214
138,35.80565
139,35.761852
140,35.699913
141,35.646942
142,35.582462
143,35.53349
144,31.617626
145,30.255882
146,26.156517
147,24.853863
148,24.765734
149,24.376646
150,22.41575
151,23.644938
152,22.434065
153,22.171398
154,22.208178
155,22.272894
156,22.339602
157,22.40596
158,22.466513
159,22.21316
160,21.935663
161,22.181835
162,22.149353
163,21.846226
164,22.10449
165,22.67079
166,22.673634
167,22.982811
168,22.670645
169,21.794525
170,22.646553
171,23.992952
172,25.996933
173,26.028074
174,30.390095
175,38.9704
176,34.321587
177,34.18654
178,34.104107
179,34.03041
180,27.313423
181,27.12759
182,32.329193
183,27.099987
184,32.238644
185,27.013193
186,26.441208
187,26.431673
188,24.03242
189,22.718338
190,24.091223
191,26.640333
192,26.739454
193,24.34184
194,26.826536
195,24.362047
196,28.26954
197,24.420912
198,28.274218
199,24.429775
200,23.344246
201,24.327787
202,24.309341
203,24.300768
204,24.276178
205,24.266186
206,23.590853
207,23.57738
208,23.923212
209,23.954687
210,23.95586
211,24.002077
212,24.012054
213,24.059963
214,24.035675
215,24.01702
216,23.984188
217,23.981182
218,23.961992
219,25.073074
220,25.093824
221,25.094109
222,25.082825
223,25.889565
224,25.903667
225,25.90292
226,25.88408
227,25.88841
228,25.885826
229,24.674137
230,25.846626
231,25.857307
232,25.847021
233,25.836405
234,25.849007
235,25.840164
236,25.84145
237,25.843763
238,24.646687
239,25.829037
240,28.78569
241,29.360405
242,29.37247
243,29.349463
244,29.338724
245,29.31384
246,28.749956
247,28.728674
248,24.714155
249,24.612972
250,24.590828
251,28.684334
252,28.708864
253,29.243444
254,31.7842
255,29.282095
256,29.279903
257,31.801378
258,32.536625
259,34.05854
260,37.61855
261,37.57955
262,37.52127
263,37.427826
264,37.3357
265,37.251766
266,37.210625
267,37.17106
268,34.4455
269,33.623043
270,33.59396
271,29.541569
272,26.503294
273,23.833712
274,23.400234
275,23.382263
276,23.738638
277,23.784134
278,23.496374
279,22.318808
280,22.05739
281,22.08519
282,22.42313
283,22.170818
284,22.19288
285,22.509392
286,23.118666
287,23.429764
288,23.080137
289,23.373041
290,23.35853
291,23.030687
292,23.019045
293,23.333176
294,23.324718
295,25.53051
296,25.554272
297,23.375383
298,23.318726
299,25.50327
300,25.521168
301,25.512003
302,23.330082
303,24.680561
304,23.297783
305,24.657764
306,25.445353
307,25.444265
308,24.640009
309,20.054201
310,18.270742
311,19.733536
312,19.70802
313,21.5918
314,19.75654
315,21.112206
316,19.784061
317,21.131224
318,19.787374
319,19.749176
320,19.768879
321,19.214214
322,19.224333
323,19.236376
324,19.203241
325,19.157475
326,18.773312
327,18.749016
328,18.579062
329,18.733053
330,18.741623
331,18.551561
332,18.564808
333,18.56108
334,18.395992
335,18.387007
336,18.38307
337,17.770403
338,17.224823
339,17.179901
340,17.394333
341,17.39199
342,17.394382
343,17.383917
344,17.377922
345,17.377642
346,17.37196
347,17.363325
348,17.363749
349,17.643593
350,17.381617
351,17.525509
352,17.52
353,17.661995
354,17.654894
355,17.65238
356,17.787706
357,17.647268
358,17.64251
359,17.639261
360,17.636671
361,17.781612
362,17.777184
363,17.785269
364,17.788755
365,19.003508
366,19.032255
367,19.448353
368,19.459278
369,19.47223
370,19.470556
371,19.473257
372,19.465792
373,19.46539
374,19.456835
375,19.453255
376,19.44303
377,18.02261
378,17.963036
379,17.368628
380,17.333118
381,17.88803
382,17.905563
383,17.91643
384,17.92393
385,17.351202
386,17.33789
387,17.918676
388,18.103746
389,18.289368
390,18.482674
391,18.502583
392,18.500618
393,18.496786
394,18.486752
395,18.477436
396,18.476105
