,Breathing Rate
0,28.808372
1,29.433538
2,29.415545
3,29.381361
4,29.365702
5,28.749653
6,31.249615
7,31.230284
8,28.673918
9,29.855991
10,28.63277
11,28.636286
12,29.857893
13,28.622805
14,24.337439
15,24.296328
16,25.510359
17,25.51035
18,24.262209
19,24.25823
20,25.530588
21,29.986786
22,25.648588
23,25.631018
24,25.64454
25,22.314018
26,22.28848
27,22.27067
28,22.257069
29,25.632607
30,26.104452
31,26.117172
32,26.11226
33,30.052475
34,30.07625
35,30.07046
36,26.188595
37,26.1511
38,26.137836
39,26.118216
40,27.594807
41,29.946733
42,29.909426
43,29.877472
44,27.507969
45,27.49918
46,30.522875
47,30.527927
48,30.552698
49,30.584047
50,27.598684
51,30.550335
52,30.54525
53,30.509779
54,30.48846
55,32.486393
56,29.865732
57,32.503296
58,32.516804
59,33.86398
60,32.476963
61,30.473814
62,29.820353
63,28.040506
64,28.013775
65,28.55964
66,27.999653
67,28.580748
68,29.190773
69,28.609022
70,28.6422
71,28.650805
72,28.682203
73,28.711725
74,28.171581
75,28.184612
76,24.82131
77,28.16029
78,28.159065
79,27.584898
80,26.550098
81,25.603127
82,25.590254
83,24.740194
84,25.146914
85,24.728294
86,23.554144
87,23.552853
88,25.157476
89,25.624138
90,26.600948
91,26.593983
92,25.657187
93,25.215672
94,25.224482
95,23.626158
96,23.257486
97,21.70125
98,21.406496
99,21.3656
100,21.333986
101,20.818157
102,20.356194
103,20.348375
104,20.33404
105,20.344942
106,20.796833
107,21.317934
108,21.903053
109,21.9374
110,27.856894
111,31.637209
112,31.613825
113,34.247128
114,31.514454
115,31.413216
116,31.351477
117,31.280746
118,28.703154
119,28.625502
120,27.461115
121,27.406414
122,27.364147
123,27.332972
124,27.307934
125,27.34097
126,27.400211
127,27.463425
128,27.539759
129,27.58578
130,27.61398
131,27.640142
132,27.66038
133,27.652418
134,27.64887
135,27.643482
136,27.633041
137,27.613754
138,27.609846
139,29.352255
140,27.61859
141,29.34732
142,27.618412
143,27.598188
144,27.597235
145,27.598362
146,27.596724
147,28.149427
148,28.736269
149,28.741972
150,28.160875
151,28.15081
152,28.144424
153,27.058323
154,28.136213
155,28.14036
156,28.148623
157,28.71806
158,28.711847
159,29.31231
160,31.246912
161,31.253164
162,31.243654
163,31.237148
164,31.234554
165,31.223883
166,31.87425
167,31.862469
168,32.50397
169,32.480644
170,32.46033
171,31.762999
172,31.743156
173,31.731213
174,31.727684
175,31.731775
176,31.742582
177,27.47719
178,26.940563
179,26.926369
180,27.438128
181,27.453632
182,26.944796
183,26.967018
184,25.119274
185,25.123102
186,27.025764
187,27.056662
188,27.084606
189,27.113909
190,27.139694
191,27.159918
192,28.814623
193,28.804281
194,26.135767
195,26.106724
196,26.090704
197,28.740902
198,29.99565
199,30.624641
200,30.604511
201,29.940845
202,29.919987
203,30.556345
204,31.879812
205,34.660564
206,34.643
207,35.426434
208,35.400455
209,35.346115
210,35.291977
211,34.45334
212,34.4249
213,34.40903
214,34.399853
215,33.664143
216,34.37021
217,34.354305
218,34.34038
219,33.60916
220,32.25688
221,33.658264
222,33.69085
223,34.441776
224,35.257236
225,34.47194
226,34.46716
227,34.46383
228,34.46272
229,33.04759
230,33.039566
231,32.365597
232,31.696163
233,32.366222
234,32.363903
235,33.0375
236,33.05029
237,32.384586
238,32.39816
239,32.41138
240,33.103058
241,33.1186
242,32.45263
243,32.45684
244,32.447407
245,33.115612
246,33.804977
247,33.79175
248,33.774227
249,33.763462
250,33.062763
251,32.377277
252,32.368504
253,31.693077
254,31.024954
255,31.026976
256,31.032804
257,31.698776
258,31.705854
259,32.389366
260,31.729137
261,31.74209
262,31.758064
263,29.807796
264,29.189655
265,29.810696
266,30.455833
267,31.12238
268,32.463367
269,32.459007
270,31.110369
271,30.439682
272,28.01862
273,28.00729
274,26.004417
275,25.544369
276,24.309776
277,24.282284
278,22.534138
279,25.475794
280,25.484539
281,25.06337
282,25.091398
283,25.137012
284,25.18199
285,25.217686
286,23.289345
287,23.28816
288,25.227219
289,25.224869
290,25.219063
291,25.203428
292,25.629074
293,25.602419
294,25.606567
295,25.165928
296,23.225449
297,23.212246
298,22.233147
299,22.208652
300,22.188665
301,22.161352
302,21.067404
303,21.060484
304,21.042418
305,21.043024
306,21.043957
307,21.058163
308,22.179745
309,22.215889
310,22.900486
311,25.744667
312,25.765318
313,27.249645
314,27.78711
315,27.76198
316,27.208555
317,27.171028
318,27.674168
319,27.649834
320,29.35944
321,29.336863
322,29.303371
323,29.280767
324,29.878225
325,29.86269
326,29.228306
327,29.853094
328,29.242128
329,28.071278
330,29.881721
331,29.885454
332,29.879772
333,28.081501
334,28.06473
335,26.9998
336,27.00219
337,27.010773
338,23.936914
339,27.017775
340,27.046862
341,28.732477
342,29.376715
343,28.77739
344,28.774174
345,29.394346
346,30.038673
347,29.41644
348,29.39764
349,29.391077
350,28.76741
351,28.739155
352,27.585989
353,28.662933
354,28.07953
355,28.070784
356,28.081184
357,28.08835
358,28.096825
359,28.106007
360,27.56636
361,27.576824
362,27.583286
363,27.589054
364,28.15332
365,28.164587
366,28.156286
367,28.147682
368,27.06234
369,27.053732
370,27.049593
371,27.044653
372,29.951698
373,29.964752
374,29.963722
375,29.952686
376,29.939966
377,29.92768
378,33.25062
379,33.25268
380,29.92757
381,33.212673
382,33.20316
383,29.864698
384,29.810682
385,29.78075
386,27.437231
387,27.423689
388,27.424185
389,27.429056
390,25.943861
391,25.93791
392,25.482628
393,24.659863
394,24.684628
395,24.684412
396,24.727825
397,24.773464
398,24.775572
399,24.786188
400,25.681063
401,24.798538
402,25.671806
403,25.687798
404,25.690855
405,26.143528
406,26.146334
407,26.144505
408,26.119705
409,26.104408
410,26.099144
411,26.089552
412,26.081524
413,26.561434
414,26.557648
415,26.555504
416,26.54975
417,26.550285
418,24.74085
419,26.5347
420,25.157608
421,25.155943
422,24.324984
423,25.143145
424,25.154211
425,24.319609
426,24.315186
427,24.320738
428,24.322868
429,24.332848
430,23.568789
431,24.343966
432,24.351965
433,24.35005
434,23.58307
435,23.57877
436,23.575037
437,23.565786
438,23.566751
439,23.576113
440,23.575642
441,23.572445
442,23.577557
443,23.580711
444,23.58005
445,23.96548
446,22.872572
447,22.223728
448,22.214855
449,22.857811
450,22.857452
451,22.858555
452,22.860998
453,22.208254
454,22.20733
455,21.34313
456,21.333809
457,21.32906
458,21.324978
459,21.327406
460,21.332745
461,21.333033
462,21.327642
463,21.323383
464,21.3262
465,21.330717
466,19.605093
467,19.970533
468,19.947277
469,19.939482
470,21.587744
471,21.601408
472,21.60933
473,21.619015
474,21.623165
475,21.629263
476,24.87156
477,21.671589
478,24.879618
479,24.902632
480,24.897573
481,27.799347
482,28.944048
483,28.911917
484,30.11388
485,30.087498
486,30.705849
487,30.6701
488,30.629913
489,31.251783
490,30.556013
491,30.528809
492,30.49019
493,30.474829
494,30.459728
495,29.80064
496,29.801785
497,29.814941
498,28.03376
499,28.038952
500,28.05908
501,28.07601
502,29.903452
503,28.123426
504,28.132172
505,28.140789
506,28.15191
507,27.614042
508,27.615385
509,28.182573
510,29.381256
511,29.39693
512,29.394133
513,30.655058
514,30.646338
515,30.629763
516,30.616642
517,30.610271
518,30.600695
519,30.58259
520,30.568077
521,30.5533
522,35.451145
523,35.426548
524,38.467308
525,38.44365
526,35.337017
527,29.828346
528,29.753607
529,25.606735
530,25.541449
531,25.06094
532,25.019327
533,23.107065
534,23.060305
535,20.812626
536,22.630787
537,22.648148
538,22.700026
539,20.835428
540,22.885002
541,22.943132
542,21.724083
543,21.73992
544,21.713512
545,21.696737
546,22.591156
547,22.931265
548,23.279589
549,22.921907
550,23.247332
551,26.667961
552,23.266054
553,26.650599
554,25.240437
555,26.636694
556,26.649422
557,26.621319
558,28.20765
559,26.596859
560,27.061592
561,27.058695
562,27.044323
563,27.037683
564,25.136301
565,26.994516
566,27.011482
567,26.988321
568,27.000254
569,23.91666
570,26.995045
571,27.023813
572,27.03469
573,28.155006
574,28.162064
575,28.174126
576,28.182976
577,29.367281
578,29.36978
579,28.167854
580,28.153784
581,28.143208
582,29.319803
583,31.920446
584,31.894115
585,31.88282
586,31.880413
587,29.275045
588,29.253866
