,Breathing Rate
0,16.79923
1,16.97575
2,16.8153
3,16.19456
4,16.48555
5,16.803982
6,16.483288
7,16.166368
8,15.728669
9,15.443315
10,15.408506
11,15.644687
12,15.365814
13,15.350405
14,15.612018
15,15.612646
16,15.34995
17,15.62091
18,16.221802
19,16.246544
20,16.270699
21,16.287596
22,16.6218
23,16.635632
24,16.636963
25,17.507048
26,17.525494
27,17.716364
28,17.723392
29,17.721443
30,17.183348
31,17.163677
32,17.32443
33,17.146967
34,17.143234
35,17.136602
36,17.13172
37,17.125841
38,17.11958
39,17.1186
40,17.124298
41,17.127693
42,16.310802
43,16.295687
44,16.283983
45,16.273552
46,17.102562
47,17.119976
48,18.24773
49,18.273504
50,18.287912
51,18.490494
52,20.367048
53,18.735125
54,18.725094
55,18.721209
56,18.34245
57,18.323221
58,16.91383
59,16.852898
60,16.803871
61,16.768795
62,16.745668
63,16.738178
64,15.542439
65,15.2456875
66,15.204035
67,15.20479
68,15.194414
69,15.7397
70,16.22196
71,17.850336
72,16.33364
73,17.895338
74,17.920166
75,16.397364
76,15.93278
77,16.34539
78,18.870071
79,18.893545
80,19.299412
81,19.304974
82,19.300865
83,19.290308
84,19.283756
85,18.89089
86,18.898657
87,18.327162
88,18.317755
89,18.312035
90,18.664833
91,18.268068
92,17.70241
93,17.689594
94,17.505209
95,17.509535
96,17.512703
97,17.51946
98,17.526102
99,17.016224
100,17.006649
101,17.51906
102,16.998842
103,16.997452
104,16.993061
105,16.343855
106,16.176655
107,16.30341
108,16.945673
109,18.433592
110,18.459606
111,17.553959
112,17.550371
113,17.55278
114,17.5514
115,17.729036
116,17.5575
117,17.555128
118,17.554262
119,17.5521
120,17.537228
121,17.52411
122,17.50781
123,17.503853
124,17.518513
125,17.712925
126,18.08877
127,18.283884
128,18.295753
129,18.300858
130,18.307835
131,18.498777
132,18.503641
133,18.502707
134,18.503395
135,18.691868
136,20.341406
137,21.10256
138,20.370401
139,20.36771
140,20.36178
141,19.72083
142,20.352337
143,20.351423
144,21.083702
145,21.086641
146,20.35599
147,20.344477
148,20.802265
149,20.793468
150,21.597713
151,21.61339
152,21.63234
153,22.945301
154,23.709476
155,22.969742
156,22.954084
157,22.598225
158,22.590012
159,20.624472
160,19.578724
161,18.982828
162,18.567461
163,18.507359
164,18.28068
165,18.071552
166,17.02902
167,16.978483
168,16.953362
169,16.793034
170,16.802347
171,16.988255
172,17.018595
173,17.05137
174,18.311628
175,18.522688
176,19.31204
177,19.330742
178,19.34146
179,19.351048
180,19.550823
181,19.949106
182,19.950178
183,19.946257
184,20.371761
185,19.930124
186,20.349651
187,19.908644
188,19.896935
189,19.487171
190,19.47761
191,19.87911
192,19.881891
193,19.885996
194,19.889023
195,19.488134
196,19.487583
197,19.48723
198,19.48986
199,18.927687
200,18.377491
201,18.009588
202,17.983118
203,17.784407
204,17.76045
205,17.397705
206,17.048504
207,17.022266
208,16.532228
209,16.36087
210,16.339537
211,16.330343
212,16.483484
213,16.491081
214,16.498236
215,16.991516
216,17.350977
217,17.91005
218,17.39307
219,17.404104
220,19.490782
221,19.723402
222,19.740932
223,19.745169
224,19.7434
225,19.738125
226,19.733376
227,19.723497
228,19.922909
229,20.827547
230,19.917805
231,19.701656
232,19.692024
233,19.673954
234,19.864618
235,20.780268
236,21.052956
237,21.069311
238,20.824106
239,20.138378
240,18.958004
241,17.879795
242,17.821009
243,17.77481
244,17.753325
245,16.308523
246,16.237734
247,15.631569
248,14.980041
249,14.900567
250,14.863581
251,15.448082
252,15.47917
253,16.083807
254,15.695221
255,16.144686
256,16.153902
257,16.168543
258,16.184164
259,17.010052
260,15.796797
261,17.013407
262,17.01697
263,17.01541
264,15.91982
265,15.739471
266,15.840117
267,15.823468
268,16.924112
269,16.943449
270,17.310865
271,17.32718
272,17.341137
273,16.998095
274,17.003958
275,17.341524
276,17.357086
277,17.370996
278,17.381523
279,17.37637
280,17.191145
281,16.074924
282,16.023424
283,15.996778
284,15.69517
285,15.672857
286,15.938145
287,15.938987
288,15.930092
289,15.926429
290,15.249165
291,15.23191
292,15.4796505
293,15.484374
294,15.497222
295,15.503293
296,15.503366
297,15.5000515
298,15.49843
299,16.729614
300,16.105537
301,16.113216
302,16.114437
303,16.11667
304,16.119982
305,16.272213
306,16.110058
307,16.106426
308,16.099012
309,16.096544
310,16.088749
311,16.082384
312,16.23197
313,16.07939
314,16.089228
315,16.088335
316,16.091248
317,16.092731
318,16.25072
319,16.098026
320,16.10378
321,16.255663
322,16.259844
323,16.421623
324,16.427662
325,16.429909
326,16.429667
327,16.270658
328,16.263788
329,16.42306
330,16.586834
331,16.429276
332,15.680192
333,16.572834
334,15.668135
335,15.643823
336,15.626564
337,15.617513
338,15.340479
339,15.5999155
340,15.6000185
341,15.603429
342,15.330399
343,15.321055
344,15.318042
345,15.596357
346,17.073658
347,17.111143
348,18.46753
349,18.497194
350,18.51152
351,15.604421
352,15.511113
353,15.080536
354,15.021512
355,18.400059
356,18.442087
357,18.459124
358,19.899563
359,18.493576
360,18.476025
361,18.478415
362,18.480438
363,18.502728
364,20.370096
365,20.401426
366,20.395267
367,20.618006
368,20.595333
369,20.56989
370,20.575493
371,21.079678
372,20.583937
373,22.622166
374,20.613625
375,20.588778
376,20.575224
377,20.794298
378,20.78288
379,20.79093
380,22.566862
381,22.590012
382,21.085316
383,22.587889
384,21.083244
385,21.62617
386,21.073198
387,20.812628
388,20.823673
389,20.812777
390,20.568022
391,19.703089
392,20.311129
393,20.084303
394,20.07824
395,20.090364
396,19.68621
397,19.676468
398,19.689417
399,19.684233
400,19.686245
401,20.11167
402,20.338312
403,20.349438
404,20.357613
405,20.142239
406,21.64338
407,19.749517
408,18.7998
409,19.711086
410,17.4126
411,17.345652
412,19.643066
413,19.652308
414,20.30635
415,20.320404
416,22.58983
417,20.153181
418,19.54675
419,18.618666
420,18.591396
421,17.412006
422,17.35691
423,17.29856
424,17.267262
425,17.209215
426,17.163973
427,18.413702
428,18.435125
429,17.551836
430,17.566801
431,18.138124
432,18.526012
433,18.17812
434,18.004581
435,18.185404
436,18.722324
437,19.102793
438,18.731014
439,18.723907
440,18.712828
441,18.70753
442,18.713463
443,19.086813
444,20.109768
445,20.11321
446,20.13007
447,20.133577
448,20.584814
449,20.13988
450,19.720697
451,19.712372
452,19.320232
453,19.699678
454,19.692614
455,19.683983
456,19.28206
457,18.706345
458,16.14883
459,15.350243
460,15.93046
461,15.870112
462,15.106088
463,15.062445
464,15.023984
465,14.988029
466,14.968651
467,14.958444
468,14.96393
469,14.977737
470,15.005892
471,15.029122
472,15.047305
473,15.038907
474,15.027146
475,15.022122
476,15.011834
477,15.006023
478,14.99804
479,13.719922
480,14.918433
481,15.164557
482,15.179259
483,15.190004
484,15.194005
485,15.203353
486,16.385036
487,17.664331
488,18.677029
489,18.714338
490,18.73498
491,18.7432
492,16.656673
493,16.599897
494,16.539612
495,15.780488
496,15.727038
497,15.292193
498,15.114901
499,15.058842
500,14.27796
501,13.508944
502,13.420769
503,13.169893
504,13.121703
505,13.098356
506,13.096604
507,14.065738
508,14.115948
509,14.571857
510,14.61634
511,14.651001
512,14.678562
513,15.898473
514,15.948669
515,15.976284
516,16.622908
517,15.99494
518,16.613997
519,16.6074
520,16.761246
521,16.753017
522,16.751282
523,16.752802
524,16.7538
525,16.745853
526,17.09127
527,17.087303
528,16.426422
529,15.156293
530,15.098062
531,15.063616
532,15.038027
533,15.0243025
534,15.018462
535,15.013253
536,15.008779
537,15.542971
538,15.7045145
539,15.729711
540,16.368332
541,16.082703
542,15.802668
543,16.10675
544,16.422287
545,16.939436
546,16.950115
547,16.287407
548,16.276346
549,16.106647
550,16.245214
551,16.235788
552,16.23232
553,16.229782
554,16.553608
555,16.239443
556,16.240414
557,16.235317
558,16.232405
559,16.237144
560,16.246843
561,16.258589
562,16.584003
563,17.109526
564,17.123905
565,16.618979
566,16.613205
567,16.130842
568,16.115955
569,16.105883
570,16.100456
571,16.093922
572,16.567926
573,16.574118
574,17.461931
575,16.605366
576,16.121325
577,16.10424
578,16.10282
579,16.103067
580,16.582163
581,16.593866
582,16.599018
583,16.124416
584,16.58758
585,16.589052
586,14.838293
587,14.772239
588,14.726632
589,14.706358
590,14.908089
591,15.273078
592,15.279685
593,15.28399
594,16.505568
595,16.547516
596,17.661703
597,17.70312
598,17.915398
599,18.319906
600,18.343252
601,18.722586
602,18.725077
603,18.718714
604,18.331202
605,16.749918
606,16.692583
607,16.638527
608,16.594902
609,17.081999
610,16.40712
611,16.393364
612,17.059605
613,17.071981
614,14.75239
615,14.677127
616,16.344387
617,17.070496
618,17.483961
619,17.896381
620,17.547163
621,17.549232
622,18.880362
623,18.89464
624,18.912235
