,Breathing Rate
0,20.114128
1,20.130344
2,20.137297
3,19.290787
4,19.271025
5,21.127323
6,21.159071
7,21.161652
8,20.175123
9,18.938826
10,18.709692
11,18.67215
12,18.484915
13,18.460238
14,18.28426
15,18.279821
16,18.275923
17,18.27634
18,18.116585
19,18.274576
20,18.129074
21,17.98826
22,18.005241
23,17.852665
24,17.991476
25,17.686922
26,17.974255
27,17.973736
28,17.972614
29,17.967405
30,19.646067
31,17.734282
32,19.656334
33,19.693954
34,19.094522
35,19.69705
36,19.711287
37,19.71314
38,19.705566
39,19.69927
40,20.137598
41,20.617214
42,20.629335
43,20.623629
44,21.129543
45,20.169329
46,20.127247
47,19.902557
48,19.897566
49,21.10513
50,21.126451
51,21.139193
52,21.1402
53,21.406115
54,21.412071
55,21.412664
56,21.1461
57,21.149908
58,21.150284
59,20.898586
60,20.884481
61,20.874832
62,20.864487
63,20.862339
64,20.615572
65,20.615744
66,20.62059
67,20.622267
68,20.630869
69,20.637007
70,20.644716
71,20.896135
72,20.656883
73,22.001247
74,22.022095
75,22.026121
76,22.325285
77,22.636738
78,22.641933
79,22.959166
80,22.959114
81,22.630568
82,22.939884
83,23.262321
84,23.257555
85,23.248724
86,23.24301
87,23.232456
88,23.238895
89,23.235619
90,23.238243
91,23.23707
92,22.299332
93,20.93453
94,20.89276
95,20.879827
96,20.871847
97,20.387985
98,17.80509
99,16.59721
100,15.958984
101,15.787225
102,16.027445
103,16.158785
104,16.15602
105,16.158617
106,16.167467
107,16.177847
108,18.826185
109,19.107998
110,19.156204
111,19.816963
112,19.855534
113,19.849981
114,19.819685
115,20.708193
116,22.057127
117,22.055054
118,22.039307
119,22.016367
120,20.670727
121,20.615377
122,21.35002
123,21.372362
124,20.61554
125,19.51106
126,19.476233
127,19.458992
128,19.438652
129,20.0728
130,19.445704
131,19.449713
132,19.067
133,18.880323
134,19.064735
135,18.870832
136,18.858622
137,18.865044
138,19.06213
139,19.071371
140,19.065922
141,19.064249
142,19.061684
143,19.062557
144,19.072386
145,19.074528
146,19.081013
147,19.082306
148,18.8933
149,18.884201
150,18.354582
151,18.333065
152,18.006737
153,17.696903
154,17.538969
155,17.664845
156,17.655853
157,17.648863
158,17.648026
159,17.644222
160,17.646744
161,17.64919
162,17.652292
163,17.509312
164,17.506681
165,17.237385
166,16.16979
167,16.096764
168,16.436178
169,15.722984
170,15.6672
171,15.632911
172,15.609995
173,16.332483
174,15.62908
175,15.609696
176,15.605143
177,15.604947
178,16.351532
179,17.877653
180,17.942278
181,17.95901
182,17.96493
183,17.124228
184,17.0859
185,17.918413
186,17.931482
187,19.412226
188,17.155737
189,19.394537
190,19.862467
191,19.868708
192,17.192608
193,16.852821
194,16.814207
195,17.028008
196,17.559357
197,17.579523
198,18.568653
199,18.596224
200,18.604713
201,18.616304
202,18.6323
203,18.627827
204,18.645237
205,18.663622
206,20.633268
207,20.654037
208,20.650436
209,20.634636
210,19.918886
211,19.267653
212,19.865192
213,19.871883
214,19.875257
215,19.88134
216,19.885592
217,19.883677
218,19.25283
219,19.229202
220,19.220114
221,18.489899
222,19.215712
223,19.443056
224,19.463196
225,19.908342
226,20.139675
227,19.925694
228,19.926027
229,19.927992
230,19.921434
231,19.495337
232,19.484932
233,20.135061
234,20.878483
235,20.893307
236,20.890781
237,19.528257
238,20.86038
239,18.943241
240,18.883339
241,20.342714
242,20.372587
243,20.388098
244,20.389606
245,20.394075
246,19.508986
247,19.088247
248,18.884956
249,18.35776
250,18.33953
251,18.856426
252,18.336817
253,18.855354
254,18.326405
255,16.83985
256,16.76738
257,16.622856
258,16.70314
259,16.593582
260,16.589262
261,16.68759
262,16.579948
263,16.575119
264,16.565723
265,16.560946
266,16.569603
267,16.569593
268,16.576468
269,16.585928
270,16.573847
271,16.564213
272,16.255705
273,16.043362
274,16.015942
275,16.50152
276,16.51032
277,16.623909
278,16.522663
279,16.632717
280,16.641293
281,16.226986
282,16.62902
283,16.636148
284,16.64076
285,16.639751
286,16.214108
287,16.616953
288,16.622442
289,16.188597
290,15.815311
291,15.783032
292,15.762301
293,16.113491
294,16.125397
295,15.760823
296,16.667353
297,15.786103
298,15.756922
299,16.5544
300,16.585827
301,16.598043
302,16.079008
303,16.26735
304,16.596941
305,16.842653
306,16.614096
307,16.600147
308,16.602484
309,16.603758
310,16.595331
311,16.60172
312,16.595905
313,16.590672
314,16.270105
315,16.586634
316,16.709923
317,16.713911
318,16.838583
319,16.84347
320,16.730206
321,16.730854
322,16.73172
323,16.18961
324,16.162159
325,16.250647
326,16.244339
327,16.240498
328,16.234324
329,16.336006
330,16.235964
331,16.130793
332,16.02922
333,15.752637
334,15.499126
335,15.718112
336,15.719064
337,15.719963
338,15.546186
339,15.534117
340,15.098208
341,15.063235
342,14.861977
343,14.837621
344,14.817421
345,14.807699
346,14.80536
347,14.796912
348,14.7917385
349,14.782631
350,14.77954
351,14.843454
352,15.190576
353,15.214446
354,14.892916
355,14.877313
356,15.207744
357,15.221602
358,15.224693
359,15.225977
360,15.225881
361,15.225195
362,15.224555
363,15.374511
364,15.22828
365,15.225048
366,15.221161
367,15.375442
368,17.453932
369,17.515944
370,15.549922
371,18.532803
372,19.873928
373,21.765083
374,23.403112
375,21.815042
376,23.358377
377,21.78505
378,21.73591
379,21.70288
380,22.576164
381,22.56852
382,21.643227
383,22.51981
384,22.52143
385,24.222567
386,24.633854
387,24.645006
388,24.664589
389,25.090776
390,25.105495
391,24.338032
392,25.094402
393,25.511747
394,25.50104
395,24.312443
396,24.28206
397,23.207275
398,21.674145
399,21.621984
400,21.611422
401,21.085146
402,21.091799
403,19.916874
404,19.896273
405,19.287058
406,19.076586
407,19.074852
408,19.283318
409,19.944004
410,19.979004
411,20.008076
412,18.660065
413,18.601389
414,18.588514
415,17.949467
416,17.910185
417,17.891424
418,17.879679
419,17.868021
420,17.853502
421,17.850494
422,17.836653
423,17.84688
424,17.854174
425,17.862516
426,17.879486
427,17.868305
428,17.862226
429,17.862572
430,17.856853
431,17.846886
432,17.846148
433,17.83653
434,17.82666
435,17.973633
436,18.295694
437,18.304756
438,18.309532
439,17.995466
440,17.98154
441,17.822054
442,18.285563
443,19.217823
444,19.24445
445,19.253447
446,19.06479
447,19.061056
448,18.348759
449,17.853977
450,17.677082
451,17.65473
452,17.241455
453,17.617641
454,17.61598
455,17.07544
456,17.581497
457,17.593037
458,17.60529
459,17.766111
460,17.785208
461,17.798498
462,17.660156
463,16.999235
464,16.962608
465,16.941526
466,16.92867
467,16.679558
468,16.154335
469,16.627707
470,16.622551
471,16.623495
472,16.627626
473,16.629175
474,16.120367
475,16.100452
476,16.090876
477,16.085985
478,17.539976
479,18.238861
480,19.666159
481,19.709093
482,19.718367
483,19.937805
484,19.939487
485,19.715178
486,18.383656
487,18.332502
488,18.308918
489,19.618076
490,18.303373
491,18.777708
492,18.76557
493,18.76747
494,17.77716
495,17.211071
496,17.740038
497,18.778122
498,18.816948
499,17.834517
500,18.643599
501,18.655415
502,18.65106
503,17.826982
504,17.807306
505,18.442066
506,18.460897
507,18.466526
508,18.474348
509,18.647047
510,18.64218
511,18.63599
512,18.467094
513,17.976217
514,17.956255
515,17.24874
516,17.930464
517,17.94721
518,18.447973
519,18.46136
520,18.464777
521,18.469124
522,19.439285
523,19.4629
524,19.470188
525,19.477673
526,18.541746
527,18.519001
528,19.454336
529,23.308352
530,23.338066
531,19.617563
532,18.591604
533,18.358845
534,16.795738
535,16.675665
536,16.600554
537,16.563961
538,15.232985
539,15.097496
540,14.998699
541,14.927169
542,14.814139
543,14.789389
544,14.869726
545,14.911744
546,15.899302
547,15.952846
548,15.630549
549,15.973104
550,15.988688
551,17.586876
552,18.296768
553,17.65868
554,17.649221
555,17.638609
556,16.319511
557,16.152546
558,16.114159
559,16.08389
560,16.051476
561,16.133287
562,16.125675
563,16.117437
564,16.012783
565,16.003668
566,16.021244
567,16.141598
568,16.158178
569,16.597357
570,16.622505
571,17.260145
572,17.281286
573,17.426868
574,17.42827
575,18.05418
576,17.463987
577,17.444445
578,18.045284
