,Breathing Rate
0,21.088514
1,21.084764
2,21.074959
3,21.068392
4,20.57801
5,20.568441
6,21.046001
7,21.04851
8,21.58921
9,21.593801
10,23.252264
11,23.269924
12,21.647543
13,21.642149
14,21.634523
15,21.630722
16,21.633093
17,21.627718
18,22.227558
19,23.256924
20,22.22678
21,22.218716
22,22.210535
23,21.604637
24,22.200684
25,22.217112
26,23.261976
27,27.278929
28,27.301895
29,27.283857
30,26.745996
31,26.715132
32,26.696434
33,26.678722
34,25.717844
35,25.696068
36,25.67648
37,25.206905
38,25.175188
39,25.153006
40,24.703201
41,23.501364
42,23.14597
43,22.475039
44,22.479023
45,22.486486
46,22.4924
47,21.586008
48,21.593248
49,21.589676
50,21.591871
51,21.599503
52,21.332355
53,19.979338
54,21.079391
55,19.964027
56,19.955746
57,19.944775
58,19.928675
59,21.051422
60,19.176361
61,19.165958
62,18.273623
63,18.23228
64,18.031984
65,18.013538
66,18.171385
67,19.085304
68,19.08983
69,19.111488
70,20.567846
71,21.357107
72,21.379463
73,21.399652
74,21.419764
75,21.422087
76,21.42005
77,21.405315
78,21.389301
79,21.37156
80,21.353615
81,21.329548
82,21.318518
83,21.301304
84,21.290634
85,23.976442
86,22.202904
87,21.330986
88,19.774427
89,19.753036
90,19.531685
91,19.703972
92,22.17443
93,19.723082
94,19.338385
95,19.696468
96,19.299793
97,19.293026
98,19.281456
99,19.278614
100,19.310535
101,18.407804
102,18.398355
103,18.364239
104,18.343197
105,18.322863
106,18.315832
107,18.33802
108,18.33268
109,18.327635
110,18.327845
111,19.472326
112,20.332811
113,20.361002
114,19.534342
115,19.542166
116,19.532984
117,20.367258
118,20.371881
119,20.84316
120,20.38024
121,20.371906
122,20.83501
123,20.354147
124,21.063232
125,22.23148
126,22.240068
127,23.682558
128,22.274384
129,22.261036
130,22.251247
131,22.910082
132,22.913658
133,22.912697
134,22.910698
135,22.90599
136,22.221958
137,22.213375
138,22.19255
139,22.181747
140,22.18547
141,21.87714
142,21.890415
143,21.89369
144,21.88901
145,21.591204
146,21.597553
147,20.81372
148,20.809664
149,21.597647
150,21.906729
151,22.225683
152,22.915422
153,22.926247
154,22.929438
155,22.932915
156,22.93155
157,22.93342
158,24.466982
159,24.477423
160,24.472841
161,24.060553
162,24.037819
163,24.016706
164,22.892693
165,22.87526
166,22.862577
167,23.979527
168,23.98825
169,23.988256
170,23.989899
171,23.983522
172,24.38371
173,24.398825
174,24.409687
175,24.419498
176,24.420734
177,24.42375
178,24.018478
179,24.404976
180,24.39409
181,24.801167
182,24.804285
183,24.804653
184,25.238997
185,24.804342
186,24.798838
187,23.599062
188,23.591398
189,23.58525
190,23.580091
191,23.580425
192,23.581469
193,23.578732
194,23.577787
195,22.519411
196,21.610662
197,21.599669
198,21.06742
199,20.819885
200,20.814396
201,19.956814
202,19.937447
203,19.171856
204,19.145695
205,19.886108
206,19.890158
207,19.904638
208,19.338093
209,19.344982
210,19.929111
211,22.580101
212,24.95967
213,25.424776
214,25.42048
215,28.481731
216,28.469769
217,29.620766
218,29.56941
219,31.443125
220,31.402737
221,31.34417
222,31.288658
223,31.223976
224,29.857128
225,29.797052
226,29.147806
227,29.764286
228,29.767101
229,29.769245
230,28.568954
231,28.574211
232,28.015337
233,25.983183
234,25.103985
235,26.009346
236,26.036173
237,26.06601
238,28.173634
239,28.202757
240,26.132002
241,25.215345
242,24.783905
243,23.981787
244,23.604034
245,22.56118
246,20.921598
