,Breathing Rate
0,21.976288
1,21.983236
2,21.985317
3,20.933193
4,20.914152
5,20.903702
6,20.898317
7,20.657366
8,20.894869
9,20.890142
10,20.889692
11,20.643438
12,20.644728
13,20.64435
14,20.648886
15,20.41725
16,20.652967
17,20.659874
18,20.891397
19,20.889683
20,20.889206
21,20.896011
22,20.898352
23,20.905653
24,21.708767
25,20.937431
26,21.716112
27,20.931828
28,20.91435
29,20.909657
30,20.896797
31,20.896746
32,20.89154
33,20.891718
34,21.415697
35,21.430113
36,20.915974
37,21.4245
38,20.912594
39,20.911367
40,21.426428
41,20.435038
42,21.416428
43,21.429901
44,21.432981
45,22.925352
46,21.464382
47,22.92428
48,22.942892
49,22.94638
50,22.947042
51,22.941172
52,22.942318
53,22.93324
54,22.016191
55,21.994415
56,21.973356
57,21.688488
58,21.675222
59,21.6707
60,21.680292
61,21.959734
62,21.97772
63,21.98705
64,21.99908
65,21.720243
66,22.008669
67,21.734135
68,22.019089
69,22.020334
70,22.019783
71,22.015846
72,22.011353
73,22.006659
74,22.003233
75,21.714428
76,21.711521
77,21.708649
78,21.7129
79,21.711481
80,21.712982
81,21.71531
82,21.717249
83,21.71872
84,21.447578
85,21.442608
86,21.71694
87,21.450785
88,21.444427
89,21.444012
90,21.441963
91,21.439548
92,21.71247
93,21.715618
94,21.443012
95,21.441212
96,21.437649
97,20.923372
98,20.9107
99,20.905272
100,20.902643
101,20.903175
102,21.985968
103,22.007595
104,22.008867
105,23.269892
106,25.560812
107,23.33735
108,23.29874
109,23.290306
110,23.283327
111,23.276693
112,23.262753
113,22.923937
114,21.72626
115,21.683306
116,21.661829
117,21.651766
118,21.651356
119,22.852238
120,22.887815
121,22.926867
122,22.935104
123,30.165634
124,30.17323
125,30.135277
126,30.099648
127,30.06487
128,30.02826
129,29.9762
130,29.927485
131,24.392487
132,23.548813
133,23.47023
134,21.408083
135,21.306166
136,20.99674
137,21.208763
138,21.259815
139,21.310396
140,21.362808
141,21.410297
142,21.474112
143,21.515785
144,21.562603
145,21.094337
146,21.060709
147,21.28553
148,21.279354
149,21.2462
150,21.210602
151,21.191683
152,20.931385
153,20.91384
154,20.915813
155,20.91431
156,20.918415
157,20.926683
158,21.195318
159,21.208223
160,21.209934
161,21.212587
162,21.215572
163,21.219631
164,21.208878
165,21.19928
166,21.738457
167,21.73557
168,22.302992
169,22.931152
170,22.934416
171,23.254005
172,22.929888
173,22.930544
174,22.918877
175,23.25184
176,23.257992
177,23.248388
178,26.192629
179,28.364435
180,28.346981
181,28.32176
182,28.291973
183,28.272293
184,27.734266
185,27.719286
186,27.70602
187,27.687876
188,27.677956
189,27.163738
190,27.140776
191,25.359814
192,25.312347
193,25.321718
194,25.349625
195,26.235453
196,26.272615
197,26.299212
198,24.306583
199,24.279741
200,26.318932
201,26.348822
202,25.099035
203,24.329329
204,25.08154
205,25.094856
206,26.34968
207,25.095354
208,24.313963
209,24.300484
210,24.30171
211,24.30478
212,25.076435
213,26.347141
214,26.359219
215,25.935753
216,27.3133
217,27.31911
218,27.306677
219,26.825312
220,26.35173
221,25.912643
222,25.894384
223,26.309416
224,26.296995
225,26.283937
226,26.268797
227,26.258846
228,25.833736
229,26.264116
230,26.27238
231,26.292797
232,25.057272
233,25.04622
234,26.305307
235,25.07076
236,25.045141
237,25.037361
238,24.283394
239,24.274584
240,24.273512
241,24.274187
242,23.923988
243,23.923843
244,22.93958
245,23.920424
246,23.947607
247,23.948988
248,23.9494
249,23.96438
250,23.968836
251,23.624603
252,23.625353
253,25.934011
254,23.662361
255,24.703316
256,23.637276
257,24.313734
258,24.693089
259,25.075964
260,25.078009
261,25.074682
262,25.077457
263,25.89972
264,25.083282
265,25.89165
266,25.891129
267,25.884558
268,25.077658
269,25.872486
270,25.878958
271,25.865051
272,25.86129
273,25.854292
274,26.291512
275,23.944704
276,23.898752
277,23.88895
278,23.218065
279,23.880081
280,23.221216
281,23.21766
282,23.22337
283,23.225893
284,23.23721
285,23.926886
286,23.955297
287,24.332132
288,24.350195
289,24.006067
290,23.987917
291,23.983244
292,23.977121
293,23.964872
294,23.276878
295,23.594917
296,23.25642
297,23.577356
298,23.927345
299,23.585447
300,23.248938
301,23.248034
302,23.252613
303,23.262514
304,23.596046
305,23.60934
306,23.606983
307,23.612467
308,23.61163
309,23.956417
310,24.3197
311,24.321772
312,24.316448
313,24.318447
314,25.484951
315,25.496359
316,25.489225
317,25.483595
318,25.473711
319,24.310698
320,24.284752
321,24.27707
322,23.91192
323,24.264643
324,23.908043
325,23.90332
326,23.905128
327,23.90466
328,23.904337
329,21.759953
330,21.715494
331,23.907372
332,24.315691
333,24.336266
334,24.337883
335,24.340536
336,26.848917
337,26.864197
338,25.540258
339,26.829748
340,26.834723
341,28.31556
342,29.415897
343,33.41264
344,34.14424
345,36.68882
346,36.63238
347,36.564568
348,36.503994
349,36.447178
350,36.392178
351,37.31061
352,37.264694
353,37.213593
354,37.16677
355,37.112995
356,37.071487
357,37.043564
358,37.055996
359,37.065964
360,37.090202
361,29.644
362,27.017183
363,26.952734
364,26.500362
365,24.875456
366,24.862263
367,24.882391
368,24.912186
369,24.204054
370,24.237886
371,23.920881
372,22.991276
373,23.029366
374,23.087828
375,23.141367
376,23.130884
377,23.754786
378,23.750437
379,23.739082
380,23.713812
381,23.707226
382,23.053074
383,23.685268
384,23.683514
385,23.68499
386,24.023994
387,24.372972
388,24.371506
389,24.369314
390,24.723917
391,25.924864
392,25.93279
393,24.735367
394,25.908722
395,24.718845
396,24.685513
397,25.86541
398,25.861479
399,25.840773
400,25.818954
401,24.999725
402,24.982359
403,25.796043
404,25.805557
405,27.66588
406,27.697302
407,29.310167
408,31.153982
409,31.160227
410,31.13035
411,31.09367
412,29.834545
413,29.232298
414,29.207245
415,29.775257
416,29.764332
417,29.74049
418,29.730576
419,29.136707
420,29.718279
421,23.350573
422,23.17114
423,23.144379
424,27.613857
425,27.687832
426,27.723341
427,27.741467
428,27.746382
429,27.749355
430,27.757956
431,24.383686
432,24.330196
433,24.701391
434,24.716084
435,27.800102
436,27.777514
437,27.739004
438,27.701597
439,27.707758
440,30.526554
441,36.748413
442,36.72811
443,31.234573
444,31.149368
445,31.132402
446,31.083122
447,31.036932
448,32.35443
449,30.954184
450,29.12591
451,29.087362
452,29.066467
453,27.982857
454,26.539759
455,26.103472
456,24.570627
457,24.60179
458,23.89203
459,23.875744
460,23.888603
461,23.90082
462,23.581543
463,22.97743
464,22.97749
465,22.974892
466,23.309559
467,23.006445
468,22.998985
469,22.998264
470,23.328096
471,23.31988
472,23.319141
473,23.637045
474,23.641115
475,23.3127
476,23.317274
477,23.313276
478,23.315065
479,23.306347
480,23.63591
481,25.93444
482,25.955698
483,26.373798
484,26.368505
485,25.923628
486,25.908438
487,24.336308
488,23.285255
489,22.619577
490,22.582314
491,22.568018
492,23.171824
493,24.217861
494,23.871243
495,22.862995
496,22.857824
497,22.566338
498,22.589346
499,22.61202
500,22.632013
501,22.645788
502,22.64883
503,22.639025
504,22.936462
505,22.928019
506,23.24351
507,22.924849
508,22.931189
509,22.939247
510,23.262915
511,22.636961
512,22.62342
513,22.317614
514,21.740297
515,22.293314
516,23.242249
517,23.258707
518,23.263117
519,22.332003
520,22.317202
521,22.3169
